branch,head_sha,parent_or_base,workunit,status_artifact,qualification_status,pr,ci_status,authority_class,integration_action,notes
work/animo-prep09-element-transfer-and-slow-sorption,e3c3b0dfa8daabe345c51be8c4f29f2731d65c47,PREP08 transfer-probes 340db9d,ANIMO-PREP09,integration/animo-prep/ANIMO-PREP09_STATUS.json,QUALIFIED_DIAGNOSTIC_CAUSALITY_AND_POLICY_MATERIALITY_REFERENCE_ADMISSION_BLOCKED,NONE,20_OF_20_STATIC_CHECKS_STATUS_REPORTED,AUTHORITATIVE_FOR_IDENTIFIER,USE_AS_PREP09_LINEAGE_ANCHOR,Explicit base of active PREP10 PR9
work/animo-prep09-option-contract-audit,0ae0e2180cf0569f8ea22319aa9ccb54ebca3210,PREP08 causal-management 933795e,ANIMO-PREP09,integration/animo-prep/ANIMO-PREP09_STATUS.json,QUALIFIED_SOURCE_AND_DIAGNOSTIC_OPTION_CONTRACT_AUDIT_TCD030_REPLICATED_REFERENCE_ADMISSION_BLOCKED,NONE,20_OF_20_CHECKS_AND_4_UNIT_TESTS_STATUS_REPORTED,SUPPLEMENTAL_EVIDENCE,RENUMBER_AND_TRANSPLANT_UNIQUE_OPTION_AUDIT,Its local TCD-030 collides with other lineage
work/animo-prep10-restart-state-continuity,761db23269b45ba79df3be97ea85289682e57106,parallel PREP lineage,ANIMO-PREP10,branch-local PREP10 restart artifacts,QUALIFIED_OR_PROMOTED_RESTART_EVIDENCE_BRANCH_LOCAL,NONE,CI_NOT_RECHECKED_BY_RG02,SUPPLEMENTAL_EVIDENCE,RENUMBER_AND_RECONCILE_LOCAL_TCD_IDS_BEFORE_TRANSPLANT,Contains unique restart findings but reused PREP10 identifier
work/animo-prep10-stable-dom-causal-activation,0a174fcee84865f027abab3dde491470c7a04afa,PREP10 stable-dom checkpoint,ANIMO-PREP10,PREP10 causal activation artifacts,QUALIFIED_SUPPLEMENTAL_CAUSAL_EVIDENCE,PR7 CLOSED_UNMERGED,CI_EVIDENCE_RECONCILED_IN_LATER_PREP10,SUPPLEMENTAL_EVIDENCE_ALREADY_RECONCILED,DO_NOT_MERGE_AS_COMPETING_PREP10,Authoritative PREP10 pins its evidence
work/animo-prep10-stable-dom-plough-accumulators,65cd4a65a3ea27cd4ce004f505d5022fdb08b9ab,PREP09 element-transfer e3c3b0d,ANIMO-PREP10,integration/animo-prep/PREP10_STABLE_DOM_B3_HANDOFF.json,QUALIFIED_SOURCE_AND_DIAGNOSTIC_STABLE_DOM_EVIDENCE_B3_NOT_ADMITTED,PR9 OPEN_DRAFT,SUCCESS_RUN_34305072563,AUTHORITATIVE_FOR_IDENTIFIER,USE_AS_PREP10_LINEAGE_ANCHOR,Active PREP10 review surface and base of PR14
work/animo-prep10c-stable-dom-event-reset-authoritative,549545921dc8175f01d86c283647acd470c14290,PREP10 stable-dom 65cd4a6,ANIMO-PREP10C,PR14 plus branch-local PREP10C artifacts,UNRESOLVED_NOT_ADMITTED_REANCHORED_REVIEW,PR14 OPEN_DRAFT,CI_NOT_RECHECKED_BY_RG02,AUTHORITATIVE_REVIEW_SURFACE,KEEP_AS_PREP10C_LINEAGE,Authority comes from explicit re-anchor not branch name
work/animo-prep10c-stable-dom-event-reset-candidate,604951e3dd135dd8b36bb94b216c1919ed8232c1,PREP10 causal 0a174fc,ANIMO-PREP10C,PR11,OLD_CANDIDATE_SUPERSEDED,PR11 CLOSED_UNMERGED,CI_NOT_RECHECKED_BY_RG02,SUPERSEDED_DO_NOT_MERGE,DO_NOT_MERGE,Replaced by PR14 re-anchor
work/animo-prep10c-stable-dom-reset-readiness,f88b8a4ca65bff4a3d9c4132a7f384c2ae698087,older PREP10 checkpoint,ANIMO-PREP10C,branch-local readiness artifacts,SUPERSEDED_READINESS_LINE,NONE,CI_NOT_RECHECKED_BY_RG02,SUPERSEDED_DO_NOT_MERGE,DO_NOT_MERGE_LOCAL_TCD032_NOT_CANONICAL,PR14 explicitly records this lineage as superseded
work/animo-rg01-baseline-stabilization,662bca8aff40f4dca1f6ccdde6bef6274c6bede2,main,ANIMO-RG01,integration/animo-reg/ANIMO-RG01_STATUS.json,QUALIFIED_PREPARATORY_BASELINE_STABILIZED_PRODUCTION_MIGRATION_STILL_BLOCKED,PR3 OPEN_DRAFT,NO_WORKFLOW_ON_EVALUATED_GOVERNANCE_CANDIDATE,AUTHORITATIVE_WORK_BRANCH,USE_MATCHING_BASELINE_ANCHOR_FOR_NEW_GOVERNANCE,Same head as stabilized baseline ref
work/animo-rg02-branch-authority-integration,ca11a64699aa8f23676c1b25f66c2a1fe7e98fd0,RG01 662bca8,ANIMO-RG02,integration/animo-reg/ANIMO-RG02_STATUS.json,IN_PROGRESS_INVENTORY_AT_SNAPSHOT,NONE,NO_CI_REQUIRED_YET,AUTHORITATIVE_IN_PROGRESS,CONTINUE_RG02,Head advances as RG02 deliverables are persisted
work/animo-sq01-tcd016-dry-solute-state,3763abf7f9aba46e185d791c6617ef64301bb96d,B3Q01 846e0f4,ANIMO-SQ01,integration/animo-science/ANIMO-SQ01_STATUS.json,IN_PROGRESS_EVIDENCE_RECONSTRUCTION_PERSISTED,NONE,NO_CI_OBSERVED_AT_INITIAL_CHECKPOINT,AUTHORITATIVE_IN_PROGRESS,KEEP_SEPARATE_SCIENTIFIC_QUALIFICATION_STREAM,Explicitly treats parallel theory and PREP branches as pinned evidence
work/animo-th01-rev53-theory-provenance,a3360415364ef4a66a81d7b6715bcd400829df1b,EB01 52411b9,ANIMO-TH01,TH01 theory/provenance status artifacts,QUALIFIED_THEORY_PROVENANCE_INVENTORY_NO_B3_B4,PR13 OPEN_DRAFT,CI_OR_VERIFICATION_NOT_RECHECKED_BY_RG02,AUTHORITATIVE,TRANSPLANT_THEORY_ARTIFACTS_AFTER_REGISTER_RECONCILIATION,Register synchronized only through canonical PREP06 tail TCD-027
work/animo-th02-release-lineage-recovery,a3360415364ef4a66a81d7b6715bcd400829df1b,identical to TH01,ANIMO-TH02,NONE,NO_OWN_TH02_WORK,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,No-op alias at TH01 head
work/animo-th02-rev41-lineage-recovery,f7f3722b14f65340dc6d67a8f80d74f5d0ebb158,TH01 a336041,ANIMO-TH02,integration/animo-theory/ANIMO-TH02_STATUS.json,QUALIFIED_PARTIAL_41X_RELEASE_LINEAGE_WITH_EXPLICIT_VERSION_CONFLICTS,PR16 OPEN_DRAFT,CI_OR_VERIFICATION_NOT_RECHECKED_BY_RG02,AUTHORITATIVE,KEEP_THEORY_LINEAGE_STREAM,Eight commits ahead of no-op TH02 ref
work/animo-tq01-testcase-qualification,5c43ee16df37a0a1357614fdec527f25e5ca8c16,EB01 52411b9,ANIMO-TQ01,integration/animo-testing/ANIMO-TQ01_STATUS.json,QUALIFIED_TESTCASE_LINEAGE_AND_PROCESS_COVERAGE_PREPARATORY_EVIDENCE,PR15 OPEN_DRAFT,NO_GITHUB_ACTIONS_WORKFLOW_AT_CLOSEOUT,AUTHORITATIVE,KEEP_TEST_QUALIFICATION_STREAM,Ten commits ahead of all shadow refs
work/animo-tq01-testcase-qualification-shadow,5137b98ac7aa18cf188271fc4201b9757d6c6558,ancestor of TQ01 primary,ANIMO-TQ01,integration/animo-testing/ANIMO-TQ01_STATUS.json,STALE_SHADOW_HEAD,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Primary is strictly ahead
work/animo-tq01-testcase-qualification-shadow2,5137b98ac7aa18cf188271fc4201b9757d6c6558,ancestor of TQ01 primary,ANIMO-TQ01,integration/animo-testing/ANIMO-TQ01_STATUS.json,STALE_SHADOW_HEAD,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Primary is strictly ahead
work/animo-tq01-testcase-qualification-shadow3,5137b98ac7aa18cf188271fc4201b9757d6c6558,ancestor of TQ01 primary,ANIMO-TQ01,integration/animo-testing/ANIMO-TQ01_STATUS.json,STALE_SHADOW_HEAD,NONE,NONE,SUPERSEDED_DO_NOT_MERGE,DO_NOT_USE_AS_INTEGRATION_SURFACE,Primary is strictly ahead
work/animo-ts01-temporal-semantics,9a85f84aaf422dd1a590c6f42a250be15a142984,PREP06 9b1f1ea,ANIMO-TS01,integration/animo-temporal/ANIMO-TS01_STATUS.json,IN_PROGRESS_SOURCE_BOUND_AUDIT,NONE,NO_CI_OBSERVED_AT_RESERVATION_HEAD,AUTHORITATIVE_IN_PROGRESS,KEEP_TEMPORAL_EVIDENCE_STREAM,Production migration not admitted
