workunit,authoritative_branch,authoritative_head,completed,tested,qualified,admission_scope,evidence_class,dependencies,next_gate,production_effect
B3A03,work/animo-b3a03-tcd018-class-a-admission-readiness,8eaaca34e4f0d906c2d8245f0df232586efe8ff3,True,False,True,TCD-018 Class A admission readiness only,B3_READINESS_NON_ADMISSION_STATUS_QUALIFIED_CI_NOT_OBSERVED,B3Q01; GOV02; PREP06; MASSQ01; SYNQ01; PREP02R route state,"G6H or eligible G6U plus independent second-line review; isolated non-interference run if reviewer requires it","NONE; readiness status qualified, no production patch or admission"
PREP02R,work/animo-prep02r-historical-reference-recovery,e29aa75f782a17e1cca6b0c2791ba04077e8bde7,False,True,False,Historical B2 acquisition and reference-admission preparation,B2_ACQUISITION_READINESS_NO_REFERENCE,Frozen B0; institutional acquisition route,G6H if reference obtained; G6U only after genuine bounded acquisition closure,NONE; B2_ACQUISITION_STILL_ACTIVE
STATEQ01,work/animo-stateq01-canonical-state-readiness,4adae99576eb56978da71f7c8a250e4445fd3bc4,True,True,True,Canonical state readiness matrix and checkpoint contracts only,SOURCE_PLUS_SYNTHETIC_STATE_READINESS_NON_B2,PREP06; ARCH02/04; TS/TIME; MP02; GHG01; SQ01; B3 routing,GSTATE profile-scoped admission after active state atoms/dependencies close,NONE; canonical STATE not admitted
STATEQ02,work/animo-stateq02-restricted-core-executable-split-run,ada93a409aa054f9aebac32728e79f80468215a7,True,True,True,Restricted-core executable accepted-boundary checkpoint split-run qualification only,B0_HASH_PINNED_DIAGNOSTIC_EXECUTION_NOT_B2,STATEQ01; frozen B0 source/testbank; exact no-tolerance comparison policy,GSTATE restricted-profile canonical admission work,"NONE; exact external-crop restricted profile qualified, canonical STATE pending"
TIME02,work/animo-time02-concrete-time-coordinate,b4d78cf32cb149cf50aa2b0a0fbefee571eee6b8,True,True,True,Concrete exact-time candidate qualification only,SOURCE_TESTBANK_PLUS_SYNTHETIC_EXECUTABLE_CONTRACT_NON_B2,TS01; TIME01; TIMEQ01/02; RG02-G5,GTIME admission after state/exchange/reference requirements for claimed scope,NONE; canonical TIME not admitted
TIMEQ01,work/animo-timeq01-runtime-transaction-qualification,ddd5de478165d51a53352033bc92c55ce672d3aa,True,True,True,Synthetic runtime transaction and scheduler trace fixture,ARCH_RUNTIME_SYNTHETIC,ARCHG02; TIME01; TS01; ARCH07,GTIME/runtime seam qualification with real process kernels when allowed,NONE; nonproduction and non-B2
TIMEQ02,work/animo-timeq02-adapter-transaction-fixtures,6b19e55f93fd84f1f956fd8e5a32034235b39588,True,True,True,Synthetic external-owner adapter transaction fixture,ADAPTER_RUNTIME_SYNTHETIC_PRODUCER,ARCH05; ARCH07; TIME01; TIMEQ01; ARCHG02,GEX producer-specific real adapter qualification,NONE; canonical EX not admitted
MASSQ01,work/animo-massq01-b1-massledger-projection,6ccddd631a8dcc21f06b1384baf2561e81179e75,True,True,True,B1 observer-only MassLedger projection,B1_DIAGNOSTIC_OBSERVER_NOT_REFERENCE,PREP06; ARCH03; active B1 execution; known TCD mappings,GMASS after canonical state/transfers and active-feature ledger closure,NONE; canonical MASS not admitted
MASSQ02,work/animo-massq02-residual-causality-typed-events,56a11b524d03c33ee4ab9b1cd13b2cd523d543fc,True,True,True,Residual causality reconciliation and candidate typed mass-event projection,B0_HASH_PINNED_B1_OBSERVER_AND_TYPED_EVENT_READINESS_NON_B2,MASSQ01; PREP06; source-bound residual probes,B3I03 intake then GMASS admission work after remaining blockers,NONE; canonical MASS not admitted
BUILDQ01,work/animo-buildq01-runtime-semantics,5e5c4c2bc678a11e87f358ac6163ba13409ee565,True,True,True,Post-G5 Fortran/runtime semantic hazard audit,B0_SOURCE_PLUS_B1_RUNTIME_PROBES,PREP01/03; GHG01; MP02; SQ01; NQ02; B3I01 routing,Runtime blockers routed to BUILDQ02/03/04 or existing TCDs,NONE; production blocks made explicit
BUILDQ02,work/animo-buildq02-tcd011-storage-runtime-qualification,e7c675c6654026d5c12836f36f2fd347e9d547c2,True,True,True,TCD-011 MAPOHYDRO storage-duration runtime contract,B1_CONTROLLED_RUNTIME_CONTEXT,BUILDQ01; B3I01 TCD-011 routing,Historical runtime characterization and later migration seam qualification,NONE; TCD-011 not scientifically closed
BUILDQ03,work/animo-buildq03-ghg-task-context-qualification,5e06473bc2bb1df6cf4e449d8d6aa04da35c7d47,True,True,True,GHG hidden task/solver context ownership and controlled equivalence,B1_CONTROLLED_GHG_RUNTIME_CONTEXT,BUILDQ02; GHG01; B3I01,BUILDQ04 plus feature-scoped GHG state/runtime qualification,NONE; explicit context evidence only
BUILDQ04,work/animo-buildq04-ghg-bottom-boundary-initialization,0ae1e58f80ca01c1b6eced7ac0d6e5c031827676,True,True,True,GHG lower air boundary first-use initialization qualification,SOURCE_CONTRACT_PLUS_EXECUTABLE_RUNTIME_PROBES_NON_B2,BUILDQ03; GHG01; B3I01,TCD-041 atomic Class B readiness/admission route,"NONE; TCD-041 registered, not admitted"
ARCHG01,work/animo-archg01-candidate-architecture-consolidation,981de99811806da362244440502218a84754157b,True,True,True,Consolidated candidate architecture only,CANDIDATE_ARCHITECTURE_GOVERNANCE,ARCH01-07; TS01; independent evidence streams,ARCHG02 revalidation / GARCH readiness,NONE; no production API or implementation admitted
ARCHG02,work/animo-archg02-temporal-revalidation,db8183802631902f41aa5bec518a3c2e63e03ab7,True,True,True,Candidate architecture temporal revalidation only,CANDIDATE_ARCHITECTURE_TEMPORAL_REVALIDATION,ARCHG01; TS01; TIME01; B3Q01,GARCH ready; downstream canonical gates still required for B4,"NONE; architecture candidate revalidated, production not admitted"
NQ02,work/animo-nq02-tcd019-nonlinear-p-qualification,40a41089020f78ee1d5181b8afc7bdb511af3193,False,True,True,"TCD-019 numerical mechanism/route qualification, admission not open",B1_DIAGNOSTIC_PLUS_HIGH_PRECISION_SYNTHETIC_NUMERICS_NON_B2,NQ01; B0; B3Q01; TCD-024 separation,"Joint Newton/fallback policy, TCD-029 coefficient semantics, independent review",NONE; no tolerance or numerical policy admitted
SQ01,work/animo-sq01-tcd016-dry-solute-state,26d0c74aa440bd73c23709d313e24ea8af2a0bcd,True,True,False,TCD-016 Class C/E evidence and atomization; blocked on science,SOURCE_THEORY_B1_DIAGNOSTIC_SCIENCE_GAP,B3Q01; TH01/02; PREP06; ANIMO theory sources,Independent theory/review for TCD-016-C1 before E1,NONE; no physical continuation state admitted
MP01,work/animo-mp01-macropore-qualification,7b5979dd6301b9d55d23e8c22948a0dba24b229b,True,True,True,Macropore source/theory and specialized-path qualification,SOURCE_THEORY_PLUS_B1_SYNTHETIC_KERNEL,TH01/02; PREP06; TQ01,MP02/STATE/TCD-025/TCD-030/031 and historical route,NONE; feature not B3 ready
MP02,work/animo-mp02-whole-case-activation,6b0f2e7470f13baeb6612b0bddb662a497dea528,True,True,True,B0-derived complete-case active macropore B1 qualification,B1_COMPLETE_CASE_SYNTHETIC_DIAGNOSTIC,MP01; frozen CranGrass parent; runtime adapter,TCD-025/031 state-ledger closure plus B2/G6U route as required,NONE; synthetic active cases are not B2
GHG01,work/animo-ghg01-ghg-qualification,dac7b7b5c591b781b82ec968896edb5957664c88,True,True,True,GHG theory/source/input lineage qualification with release gaps,THEORY_SOURCE_LINEAGE_WITH_REFERENCE_GAPS,TH01/02; TQ01; PREP06; architecture state ownership,"TCD-032..037, TCD-041, STATE/MASS/runtime and historical-reference work",NONE; GHG feature not B3 admitted
