workunit,authoritative_branch,current_head,authority_basis,realized,persisted,tested,qualified,admitted,evidence_scope,current_state,next_gate,production_effect
B3I05,work/animo-b3i05-ubq02-numerical-seam-intake,7fa0162415e02a6f0167e71b48ae38177a9e06e0,qualified canonical child routing with successful workflow,True,True,True,True,False,TCD-042 child atomization governance only,QUALIFIED_TCD042_CANONICAL_CHILD_ROUTING_NO_NEW_TCD_NO_ADMISSIONS,B1 and E1 remain child keys under TCD-042; no TCD-043,NONE
B3B01,work/animo-b3b01-tcd015-class-b-admission-readiness,b982242949aecab32b9067cf7910ad75abfc2b19,qualified TCD-015 Class-B readiness dossier,True,True,True,True,False,TCD-015 readiness only,QUALIFIED_TCD015_CLASS_B_ADMISSION_READINESS_ROUTE_AND_INDEPENDENT_REVIEW_PENDING,valid route plus genuinely independent second-line review,NONE
B3A01,work/animo-b3a01-tcd027-class-a-readiness,b2bac82512fef0fa232e759f0c68b472567c11d5,qualified TCD-027 Class-A readiness dossier,True,True,True,True,False,TCD-027 readiness only,QUALIFIED_TCD027_CLASS_A_ADMISSION_READINESS_B3_ADMISSION_BLOCKED_BY_B2_ROUTE,valid route plus independent second-line review,NONE
B3A02,work/animo-b3a02-tcd017-class-a-admission-readiness,1a714eb144e43420ef5b176727e496ff9c46bc6d,qualified readiness plus clean review branch registration,True,True,True,True,False,TCD-017 readiness only,QUALIFIED_TCD017_CLASS_A_ADMISSION_READINESS_ROUTE_AND_INDEPENDENT_REVIEW_PENDING,valid route plus genuinely independent review,NONE
B3A03,work/animo-b3a03-tcd018-class-a-admission-readiness,8eaaca34e4f0d906c2d8245f0df232586efe8ff3,qualified source and inherited runtime readiness packet,True,True,False,True,False,TCD-018 readiness only,QUALIFIED_TCD018_CLASS_A_ADMISSION_READINESS_ROUTE_AND_INDEPENDENT_REVIEW_PENDING,B3A03R evidence plus independent review and valid route,NONE
B3A03R,work/animo-b3a03r-tcd018-second-line-review,0876e6e1b6ce33ee5e7b812ab4107f54760d6b27,technical recheck with isolated runtime and explicit independence failure,True,True,True,True,False,TCD-018 technical review not independent,TECHNICAL_REVIEW_PASS_BUT_INDEPENDENT_SECOND_LINE_AND_ROUTE_GATES_NOT_SATISFIED_TCD018_NOT_ADMITTED,genuinely separate reviewer plus valid route,NONE
NQ02,work/animo-nq02-tcd019-nonlinear-p-qualification,40a41089020f78ee1d5181b8afc7bdb511af3193,latest content-rich TCD-019 numerical branch; overall policy remains open,True,True,True,False,False,TCD-019 partial numerical mechanism qualification,QUALIFIED_CAUSALITY_AND_CANDIDATE_ROUTE_BUT_FALLBACK_POLICY_AND_INDEPENDENT_REVIEW_OPEN,joint Newton/fallback policy plus independent numerical review and separate TCD-029 handling,NONE
TIME02,work/animo-time02-concrete-time-coordinate,b4d78cf32cb149cf50aa2b0a0fbefee571eee6b8,qualified exact rational time candidate and executable vectors,True,True,True,True,False,concrete time representation candidate,QUALIFIED_CONCRETE_TIME_REPRESENTATION_CANDIDATE_CANONICAL_TIME_ADMISSION_PENDING,owning canonical-time admission plus producer-specific binding,NONE
IO01,work/animo-io01-legacy-text-input-contracts,2bcf65360b08d278f28f1cc61ac96714db4793a3,qualified DIRECT and bounded Ruurlo MATERIAL representation with exact TTUTIL provenance,True,True,True,True,False,bounded input representation only,QUALIFIED_LEGACY_INPUT_CONTRACT_TTUTIL_SOURCE_DIRECT_AND_BOUNDED_MATERIAL_REPRESENTATION_PILOTS,separate bounded input-family qualifications; production migration remains forbidden,NONE
ARCHG02,work/animo-archg02-temporal-revalidation,db8183802631902f41aa5bec518a3c2e63e03ab7,qualified candidate architecture temporal revalidation,True,True,True,True,False,candidate architecture only,QUALIFIED_CANDIDATE_ARCHITECTURE_REVALIDATED_AGAINST_FINAL_TS01_TIME01_PRODUCTION_NOT_ADMITTED,admitted downstream gates before composition,NONE
ARCH05,work/animo-arch05-external-exchange-contracts,99b6098a19db405ce34928af89bb78b856dce7cd,qualified exchange-contract architecture without real adapters,True,True,True,True,False,external exchange candidate architecture,QUALIFIED_CANDIDATE_EXTERNAL_EXCHANGE_CONTRACT_ARCHITECTURE,real producer-specific adapter qualification plus canonical state/time binding,NONE
NQ03,work/animo-nq03-tcd042-e1-numerical-policy,8dcdcf09304f50c83d77abbdc8ef35126d3dcbb6,qualified restricted natural-envelope Class-E policy with successful validation and no admission,True,True,True,True,False,TCD-042-E1 positive-Hetop restricted numerical policy,QUALIFIED_RESTRICTED_TCD042_E1_NATURAL_ENVELOPE_NUMERICAL_POLICY_INDEPENDENT_REVIEW_PENDING,NQ03R review is complete; B3E01 now owns readiness/domain reconciliation,NONE
NQ03R,review/animo-nq03r-tcd042-e1-independent-numerical,0153779e9045c6527b7c31156f2295ff44b57eeb,methodologically independent 120-digit reconstruction with green run 34383816992; organizational independence not claimed,True,True,True,True,False,TCD-042-E1 restricted numerical-policy second-line reconstruction,INDEPENDENT_REVIEW_PASS_RESTRICTED_POLICY_NO_ADMISSION_IMPLEMENTATION_ORDER_CONSTRAINT_CARRIED,B3E01 domain/readiness route; production evaluation order remains separate,NONE
IO02,work/animo-io02-general-input-normalization,fdf6a27feefcb1d1afb9faff0aaab2f5363073c9,strict GENERAL representation observer and test suite persisted; latest workflow 34383556997 fails in unittest step after compile passes,True,True,False,False,False,GENERAL.INP strict representation qualification in progress,IN_PROGRESS_PERSISTED_SOURCE_CONTRACT_EXTRACTION_VALIDATION_FAILING,fix failing contract tests then complete natural projection and qualification,NONE
B3A04,work/animo-b3a04-tcd026-class-a-readiness,1192ee77eda47149af1e31a752e09d343edd9273,finalized content-qualified Class-A readiness including model-produced restart-format state replay and PASS scope guard,True,True,False,True,False,TCD-026 readiness only; replay is not chronological split-run or B2,QUALIFIED_TCD026_CLASS_A_ADMISSION_READINESS_ROUTE_AND_INDEPENDENT_REVIEW_PENDING,valid route plus genuinely independent second-line review,NONE
B3B02,work/animo-b3b02-tcd042-b1-class-b-readiness,412bf889ce959d85c651c3b9180dec0a6ff9bb61,domain-refined closeout supersedes earlier broad readiness after finding parser-admissible Hetop=0,True,True,False,False,False,TCD-042-B1 positive-Hetop exact-zero subdomain only,PARTIAL_TCD042_B1_CLASS_B_READINESS_HETOP_ZERO_DOMAIN_UNRESOLVED_ROUTE_AND_REVIEW_FAIL_CLOSED,resolve or govern Hetop=0 semantics then route and independent review,NONE
B3B03,work/animo-b3b03-tcd024-slow-langmuir-index-readiness,446f57f3aeff6e7db56ce473f0724bdb58cad94f,qualified atomic readiness with exact validator and green workflow run 34382965948,True,True,True,True,False,TCD-024 Class-B readiness only,QUALIFIED_TCD024_CLASS_B_ADMISSION_READINESS_HISTORICAL_ROUTE_BLOCKED_SECOND_LINE_REVIEW_PENDING,valid route plus independent second-line review; historical prevalence remains UNKNOWN,NONE
B3B03R-TECH,work/animo-b3b03r-tcd024-second-line-review,02ce1f49582d2b8cb794c3bfb9d674481a2eea1e,validated technical re-read from same ChatGPT authoring context; run 34383563205 green,True,True,True,True,False,TCD-024 technical reconfirmation only; independence gate explicitly unsatisfied,PASS_TCD024_ATOMIC_CLASS_B_READINESS_TECHNICALLY_RECONFIRMED,genuinely independent reviewer via prepared handoff plus valid route,NONE
B3B03R-HANDOFF,review/animo-b3b03r-tcd024-independent-second-line,11db97289ffafdd6281b83f0aa0e96b544d6eb5a,review packet attaches validated technical evidence but records independent review not completed,True,True,False,False,False,TCD-024 independent-review handoff only,REQUEST_PREPARED_NOT_COMPLETED,external or genuinely separate independent second-line disposition,NONE
B3B04,work/animo-b3b04-tcd040-layer0-restart-readiness,c87ed020a8b4a4685e76f701364b560c8f9c7aef,live in-progress restore-identity work based on B3I04 with scope guards persisted,True,True,False,False,False,TCD-040 Class-B restart readiness in progress,IN_PROGRESS_PERSISTED_EVIDENCE_QUALIFICATION_PENDING,complete nonzero layer0 restore identity and split-run consequence evidence,NONE
B3E01,work/animo-b3e01-tcd042-e1-class-e-admission-readiness,41e43c6a6888aac5b5b52041bcdd088c7afc68f1,qualified partial E1 readiness with NQ03R review and documentation-bound zero-domain confirmation; workflow 34385155661 success,True,True,True,True,False,TCD-042-E1 positive-Hetop policy/readiness subdomain only,PARTIAL_TCD042_E1_CLASS_E_READINESS_POSITIVE_HETOP_POLICY_QUALIFIED_FULL_CHILD_DOMAIN_AND_ADMISSION_ROUTE_FAIL_CLOSED,resolve documented parser-admissible Hetop=0 semantics; define child disposition carrier; valid route and independent B3 disposition review,NONE
