id,routine,file_lines,variable_expression,hazard_class,persistence_expectation,explicit_save,initialized_before_first_read,cross_call_dependence,task_phase_dependence,gnu_observation,historical_intel_behavior,scientific_state_candidate,restart_relevance,b3_impact,qualification,notes
HS-011,MPTRANSP,"MAPOTRANSPORT.FOR:350-363, 368-632",Iter; LnBoMpMx; flMpIter; flUnsIter; ReKoOrg; CoIter; CoPr; TpAmMp; AvCoOld and related intermediates,UNSAVED_CROSS_TASK_LOCAL,retain iteration and balance-reset context across Task 1/2/3 and calls within a timestep,NO,Task 1 initializes conditionally; Tasks 2/3 read retained locals,YES,Task 1 -> Task 2 iterations -> Task 3 balance/reset,MP02 whole-case activation succeeds under GNU diagnostic -fno-automatic; source confirms direct cross-return dependence,Historical Intel behavior unknown; cannot infer from GNU success under forced static locals,NO,No accepted-boundary checkpoint ownership for algorithm context; macropore physical stores themselves are separate,Major B3 blocker for macropore migration and runtime portability,SOURCE_CONFIRMED_ACTIVE_HAZARD,One of the strongest non-GHG hidden-state families
HS-012,Outsel,"Outsel.for:208-211, 233 onward",NULNITEM; ipoi; iopG; UoLnout; text; finase,EXPLICIT_SAVE_DIAGNOSTIC_STATE,persist output metadata/file mapping across output calls,YES,initialized during first output timestep before later use,YES,output-session lifetime,GNU semantics explicit because SAVE is declared,Historical compiler-independent at language level,NO,No physical restart relevance; output session can be reconstructed,No science blocker; architecture must keep diagnostics outside physical state,QUALIFIED_EXPLICIT_DIAGNOSTIC_SAVE,"Legitimate explicit persistence, but wrong owner would be ModelState"
HS-013,elapsedTime,Animo.for:1333-1360,elapsed; tmptimestart,EXPLICIT_SAVE_DIAGNOSTIC_STATE,retain wallclock start between task 1 and task 2,YES,task 1 initializes tmptimestart before task 2,YES,timing task 1 -> 2,GNU route is compatibility-dependent on dfport implementation; SAVE itself is explicit,Historical Intel semantics language-conforming for SAVE,NO,NO,No scientific B3 impact,QUALIFIED_EXPLICIT_DIAGNOSTIC_SAVE,Timing only
HS-014,Transca / Rates / Inicalc,"Transca.for:93-117, 153-171, 185-205; Rates.for:76 onward; Inicalc.for:342-351",Recfca(0); Recfpddiorma(0); Recfpddiorni(0); Recfpddiorpo(0); Rhbd(0); Socfdom(0),INDEX0_INITIALIZATION_GAP,layer-0 transport expects defined rate/parameter values when layer 0 is active,N/A,NO explicit writes found in frozen source assignment scan before Transca index-0 reads,NO storage-retention requirement established; issue is missing initialization,layer-0 activation dependent,SQ01 confirmed source-static gap; runtime effect not qualified,Historical values/effect unknown; compiler zero-init must not be assumed,NO for these parameters/rates,Indirect: restart or fresh run can expose layer-0 use; no valid checkpoint cure,Requires B3 intake/routing if runtime materiality is established; do not merge automatically into TCD-016,SOURCE_CONFIRMED_RUNTIME_EFFECT_UNQUALIFIED,Compiler initialization is not a scientific state model
HS-015,Inicalc / GHG restart reconstruction,GHG01 restart audit; frozen Inicalc layer loop 1..Nl,CoCH4(0); CoN2O(0) reconstructed from Cs only for layers 1..Nl,INDEX0_RESTART_RECONSTRUCTION_GAP,dissolved gas concentration at layer 0 must have deterministic accepted-boundary reconstruction,N/A,NO deterministic layer-0 reconstruction identified while Cs(0) is serialized/read,NO,restart phase mapping,GHG01 source-bound restart discontinuity; natural historical magnitude remains reference-limited,Historical effect unknown,"YES, GHG physical phase state is a scientific-state family",YES,Blocks GHG restart sufficiency and canonical STATE admission for activated GHG,CONFIRMED_GHG_RESTART_BLOCKER,Different from transient hidden locals
HS-016,source-wide external procedure calls,"PREP01/PREP03; 137 selected routines, 790 approximate CALL statements in primary local scan",implicit external interfaces and long argument lists,IMPLICIT_INTERFACE_DEPENDENCY,caller/callee type/rank/alias contracts are expected to match without compiler-enforced explicit interface,N/A,N/A,N/A,source-wide,PREP01 requires -fallow-argument-mismatch; PREP03 shows extreme mixed-semantic interfaces,Intel acceptance does not establish GNU or standard-conforming equivalence,NO,"Indirect, because missed state/shape contracts can affect restart and mutation",Blocks broad refactor and requires seam-by-seam typed interface qualification,CONFIRMED_ARCHITECTURAL_RUNTIME_HAZARD,No production interface rewrite in BUILDQ01
HS-017,source-wide CALL sites,static duplicate-actual scan over selected revision-53 units,same actual object at multiple dummy positions in selected calls,ALIASING_REVIEW,no harmful overlapping-definable alias should be assumed safe,N/A,N/A,possible at call boundaries,implicit-interface dependent,Syntactic scan found duplicate actual patterns; inspected examples MPTRANSP AvCo/CoTemp and Sorpfast Con/Con are input/input and not confirmed harmful. No material alias defect established,Historical compiler behavior unknown; absence of observed failure is not proof,NO,Indirect only,No new B3 discrepancy admitted; explicit interfaces must make alias contracts checkable,NO_CONFIRMED_MATERIAL_ALIAS_FOUND_NOT_PROOF_OF_ABSENCE,Subarray/COMMON overlap remains outside simple duplicate-token proof
HS-018,source-wide DATA initializers,44 DATA statement starts in selected local scan,"DATA-initialized locals, mainly constants/sentinels",IMPLICIT_SAVE_BY_DATA,DATA-initialized entities have static lifetime by Fortran semantics,IMPLICIT_BY_LANGUAGE,YES by DATA initialization,"YES lifetime, but mutable cross-call use not established for audited constants",routine lifetime,GNU/Intel language semantics both require DATA initialization persistence,Known at language level; exact kind/precision still build-contract dependent,NO,NO unless a DATA entity is mutable continuation state; none established here,No blocker when represented as constants; do not move to ModelState,QUALIFIED_STATIC_CONSTANT_FAMILY,"ConvCrit, Zero/Small/One, etc. are better explicit constants"
HS-019,source-wide numeric kind contract,PREP01 GNU compiler probe and historical Intel build contract,default REAL / DOUBLE precision and Dble_trunc behavior,COMPILER_NUMERIC_SEMANTICS,diagnostic equivalence expects eight-byte default REAL semantics,N/A,N/A,N/A,source-wide,GNU four-byte default-real builds diverged; PREP01 diagnostic recipe uses -fdefault-real-8 -fdefault-double-8,Historical Intel compiler version known; exact /4R8 or /Qautodouble settings not recovered,NO,Indirect numerical continuation relevance,Remains build/reference contract dependency; compiler flag is not a scientific correction,CONFIRMED_BUILD_CONTRACT_DEPENDENCY,Separate build qualification from science admission
HS-020,MPTRANSP balance warning guard,MAPOTRANSPORT.FOR:659-672,Abs(BaDev)>1e-5 .AND. Abs(BaDev/BaMx)>0.005,EVALUATION_ORDER_FLOATING_EXCEPTION,"warning guard appears intended to avoid relative check when absolute deviation is tiny, but Fortran does not require short-circuit",N/A,BaDev and BaMx are initialized; denominator may be zero,NO,balance-warning control flow,MP02 and BUILDQ01 exact-expression GNU probe: zero/zero sets IEEE invalid with branch false; trapping build aborts,Historical Intel evaluation/effect unknown,NO,NO physical restart ownership,Diagnostic-only expression can still make runtime control-flow compiler/FP-environment dependent,CONFIRMED_GNU_FPE_SEAM,See floating matrix
HS-021,TRANSPORT / Transgen / GHGtransport balance checks,TRANSPORT.FOR:264; Transgen.for:379; ghgtransport.for:263,"Abs(Bapd-Batr)/max(Abs(Bapd),Abs(Batr)) combined with .AND. absolute check",FLOATING_DIVISION_GUARD_ORDER,relative balance check should be safe when scale is zero,N/A,Bapd/Batr computed before check; denominator can be zero by expression structure,NO,diagnostic balance check,Static source candidate; no BUILDQ01 runtime invalid observation established for these routes,Historical Intel effect unknown,NO,NO,Keep distinct from MP02 confirmed seam; requires targeted probe before discrepancy admission,SOURCE_RISK_RUNTIME_EFFECT_UNQUALIFIED,Second conjunct does not guard first division
HS-022,NO3N2OReduc,"ghg_n2o.for:483, 555-565",AvCoNO3/RatFacN2O and related denominators,FLOATING_DIVISION_DOMAIN_DEPENDENCY,scientific parameter/state domain must exclude zero denominator or handle it explicitly,N/A,inputs computed upstream; no explicit RatFacN2O>0 guard at these expressions,"NO hidden lifetime, but state dependent",N2O iteration,Static source risk only; no authoritative GHG runtime materiality established,Historical effect unknown,NO,Indirect,"Potential STATE_MATERIAL if activated; needs scientific/domain qualification, not compiler flag",SOURCE_RISK_RUNTIME_EFFECT_UNQUALIFIED,Do not classify as defect without reachability evidence
HS-023,Transorp nonlinear convergence,Transorp.for:1121 and related 1545/1951 predicates,Dif/rsc; Dif/avc; Dif/tau in compound logical convergence tests,EVALUATION_ORDER_NUMERICAL_CONTROL,solver branch must not depend on undefined/exceptional division order,N/A,denominators are solver state; some small-value alternatives occur later in same logical expression,NO hidden lifetime,nonlinear solver control flow,"NQ02 establishes nonlinear P numerical policy sensitivity; BUILDQ01 adds source-level evaluation-order hazard only, not a new TCD",Historical Intel effect unknown,NO,"Numerical continuation relevance within timestep, not checkpoint state",B3 numerical policy impact remains routed through NQ02/TCD-019 unless independent defect evidence appears,SOURCE_RISK_RUNTIME_EFFECT_UNQUALIFIED,Do not conflate with TCD-024
