record_id,case,interval,control_volume,quantity,observed_value,unit,classification,canonical_tcd,related_tcd,causal_owner,source_state_or_transfer_coordinates,runtime_reconciliation,allocation_route,admission_effect
R014,LWKM_gras_1040.2021.2045,TITO=8531,CV-SOIL-N,N,0.5842666837997967,kg/ha N,NEW_CAUSAL_FINDING,,TCD-015 candidate family,local nitrate transport solve,"TRANSPORT.FOR:251-270; dominant layer 1 NITRATE BAPD-BATR","independent MAIN-ANIMO trace=0.5842666837650191 kg/ha N; dominant layer1 NO3=0.5842666837650224",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R015,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-N,N,0.2240510811934655,kg/ha N,NEW_CAUSAL_FINDING,,TCD-016,composite layer-0 NH4 plus NO3 transport seam,"Transsub.for:125-190; TRANSPORT.FOR:251-270; layer0 NH4/NO3 plus negligible layer1 NO3","independent MAIN-ANIMO trace=0.22405108118892397 kg/ha N; known NH4 TCD-016 component=0.13880242022597072; additional layer0 NO3=0.08524873053248594; layer1 NO3=-6.9569530453e-08",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake_of_NO3_component
R016,RuurloGrass,TITO=1915,CV-SOIL-N,N,0.0067493732130969875,kg/ha N,UNEXPLAINED,,,non-TRANSPORT process or observer-transfer seam,"observer owner state/transfer sidecars; legacy banhGP/baniGP component reports; TRANSPORT.FOR local equation excluded as cause","MAIN-ANIMO local TRANSPORT mismatch=-1.9227740145e-14 kg/ha N while legacy NH4 and NO3 period components sum to approximately the observer residual",none,blocks_mass_admission_pending_causal_resolution
R017,STONE_akk_0006.2001.2015,TITO=2382,CV-SOIL-N,N,0.023667581954214256,kg/ha N,NEW_CAUSAL_FINDING,,TCD-015 candidate family,local nitrate transport solve,"TRANSPORT.FOR:251-270; dominant layer 6 NITRATE BAPD-BATR","independent MAIN-ANIMO trace=0.023667581953343442 kg/ha N; dominant layer6 NO3=0.02366758195333649",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R018,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,TITO=637,CV-SOIL-N,N,0.00000007479684427380562,kg/ha N,NEW_CAUSAL_FINDING,,TCD-015 candidate family,local nitrate transport solve,"TRANSPORT.FOR:251-270; dominant layer 6 NITRATE BAPD-BATR","independent MAIN-ANIMO trace=0.00000007484243194963797 kg/ha N; dominant layer6 NO3=0.00000007485352471631912",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R019,GrassPeat,TITO=10,CV-SOIL-P,P,-0.001716168328130152,kg/ha P,NEW_CAUSAL_FINDING,,TCD-014,first-step P partition/Transgen seam with slow-site inconsistency,"Inicalc.for:729-769; Transgen.for:356-380; INPO=1 Copo/Amcxsl state","independent Transgen trace=-0.0017161683016003553 kg/ha P; INICALC reports supplied slow-site values inconsistent with Copo",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R020,LWKM_gras_1040.2021.2045,TITO=4503,CV-SOIL-P,P,-0.0013402465956460219,kg/ha P,NEW_CAUSAL_FINDING,,TCD-019,local PO4 Transgen mass equation,"Transgen.for:356-380; PO4 aqueous/fast/slow/precipitated stores","independent Transgen trace=-0.0013402465950205487 kg/ha P; the documented TCD-019 tangent+Newton probe did not change this target event, so identity with TCD-019 is not assumed",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R021,Puitmijn_Cranendonck_60,TITO=1490,CV-SOIL-P,P,0.013332924185306183,kg/ha P,NEW_CAUSAL_FINDING,,TCD-019 candidate family,local PO4 Transgen mass equation,"Transgen.for:356-380; PO4 aqueous/fast/slow/precipitated stores","independent Transgen trace=0.013332903069614349 kg/ha P; no admitted existing TCD mechanism explains the event",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R022,STONE_akk_0006.2001.2015,TITO=10,CV-SOIL-P,P,0.0024388999518123455,kg/ha P,NEW_CAUSAL_FINDING,,TCD-014,first-step P partition/Transgen seam with slow-site inconsistency,"Inicalc.for:729-769; Transgen.for:356-380; INPO=1 Copo/Amcxsl state","independent Transgen trace=0.002438899952469473 kg/ha P; INICALC reports supplied slow-site values inconsistent with Copo",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R023,Zuiderzeeland_MeeuwenTocht_1_Akkerbouw_AWA,TITO=1,CV-SOIL-P,P,-0.025991071459429804,kg/ha P,NEW_CAUSAL_FINDING,,TCD-014,first-step P partition/Transgen seam with slow-site inconsistency,"Inicalc.for:729-769; Transgen.for:356-380; INPO=1 Copo/Amcxsl state","independent Transgen trace=-0.02599107146142396 kg/ha P; INICALC reports supplied slow-site values inconsistent with Copo",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_pending_canonical_intake
R024,LWKM_gras_1040.2021.2045,TITO=3073,CV-SOIL-ORGANIC-C,soil-organic C,-0.000028300704434514044,kg/ha C,NEW_CAUSAL_FINDING,,,dissolved organic-matter transport solve projected through Cfracom,"TRANSPORT.FOR:251-270 for Sol.Org.Mat; MASSQ01 C projection=Cfracom(0.58)*CV-SOIL-OM","independent MAIN-ANIMO dissolved-OM trace=-0.000048794859983485134 kg/ha OM; multiplied by 0.58 gives -0.000028301018790421378 kg/ha C, matching the bounded observer scale without making a whole-system C claim",B3I02_REQUIRED_NO_TCD_ALLOCATED,blocks_mass_admission_for_bounded_soil_organic_C_pending_canonical_intake
R025,MP02 synthetic complete-case,TITO=1,CV-MATRIX-MACROPORE-WATER,water,-0.0000006,mm approx,KNOWN_TCD,TCD-025,,main public macropore water ledger integration gap,"MAPOHYDRO specialized SrWaMpOld/SrWaMp storage identity vs Outbal_calc public interface","synthetic MP02 B1 only; natural testbank has no active macropore case",none,feature_scoped_mass_admission_blocked
R026,MP02 synthetic complete-case,TITO=1,CV-MATRIX-MACROPORE-N,N,NH4 +0.000582; NO3 +0.000507,kg/ha N differential,KNOWN_TCD,TCD-025,,main public macropore solute ledger integration gap,"MAPOTRANSPORT SrWaMpOld*CoMp -> SrWaMp*RsCoMp plus direct drainage vs Outbal_calc public interface","synthetic MP02 B1 only; natural testbank has no active macropore case",none,feature_scoped_mass_admission_blocked
