transfer_id,source_state,sink_state,external_internal,species,sign_convention,routine,rate_state_variable,corresponding_balance_term,conservation_identity,known_discrepancy_id,evidence
W-LATERAL-DRAIN,W-MATRIX,EXT:drain-system,external_out,water,positive drainage out,Hydro_detailed,FLK/FLS/FLG/FLD/FLD2,Bawa Dra(*),ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-LATERAL-INFIL,EXT:drain-system,W-MATRIX,external_in,water,positive infiltration into profile,Hydro_detailed,negative/paired drainage infiltration,Bawa Inf(*),ID-WATER-PROFILE,,ANIMO 4.0 guide §2.2; Outbal_calc.for
W-VERTICAL-MATRIX,W-MATRIX[layer i],W-MATRIX[layer i+1],internal,water,positive downward; cancels across internal interface,Hydro_detailed,FLAB,top/bottom profile terms only when interface crosses balance boundary,ID-INTERNAL-INTERFACE-CANCEL,,Hydro_detailed.for; Outbal_calc.for
W-MP-INFIL,EXT:surface,W-MACROPORE,external_in,water,positive macropore inflow,MAPOHYDRO,FlMpInPr/FlMpInRu,specialized MAPOHYDRO balance; incompletely represented main Bawa,ID-MACROPORE-WATER,TCD-025,MAPOHYDRO.FOR; Outbal_calc.for
W-MP-MATRIX-X,W-MACROPORE,W-MATRIX,internal,water,FlMpOuIf positive macropore to matrix,MAPOHYDRO,FlMpOuIf,specialized macropore closure,ID-MACROPORE-WATER,TCD-025,MAPOHYDRO.FOR
W-MP-DIRECT-DRAIN,W-MACROPORE,EXT:drain-system,external_out,water,positive direct drainage,MAPOHYDRO,FlMpOuDrTo,main Bawa direct-drain addition is commented provisional,ID-MACROPORE-WATER,TCD-025,MAPOHYDRO.FOR; Outbal_calc.for
DOM-C-VERTICAL,DOM-L-C[layer i],DOM-L-C[layer i+1],internal,organic matter,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,TRANSPORT / Transsub,Flib/Flou/Avc,Bdom Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,TRANSPORT.FOR / Transsub.for
DOM-C-DRAIN,DOM-L-C,EXT:drain-system,external_out,organic matter,positive mass loss with drainage,TRANSPORT,Flid/Avc,Bdom Dra(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DOM-C-INFIL,EXT:drain-system,DOM-L-C,external_in,organic matter,positive mass input with infiltrating drain water,TRANSPORT,Flid*boundary concentration,Bdom Inf(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DOM-C-RUNOFF,DOM-L-C,EXT:surface-water,external_out,organic matter,positive surface mass export,Transport/top-layer routing,runoff*surface concentration,Bdom R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
DOM-C-RUNON,EXT:adjacent-surface,DOM-L-C,external_in,organic matter,positive runon mass input,boundary input / transport,RUNON*runon concentration,Bdom Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DOM-C-IRRIGATION,EXT:irrigation,DOM-L-C,external_in,organic matter,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Bdom Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DOM-C-BOTTOM-UP,EXT:below-profile,DOM-L-C,external_in,organic matter,positive upward seepage mass input,TRANSPORT,bottom upward flux*Coaq,Bdom Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
DOM-C-BOTTOM-DOWN,DOM-L-C,EXT:below-profile,external_out,organic matter,positive downward leaching mass loss,TRANSPORT,bottom outflux*Avc,Bdom Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
DON-VERTICAL,DOM-L-N[layer i],DOM-L-N[layer i+1],internal,organic N,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,TRANSPORT / Transsub,Flib/Flou/Avc,Bano Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,TRANSPORT.FOR / Transsub.for
DON-DRAIN,DOM-L-N,EXT:drain-system,external_out,organic N,positive mass loss with drainage,TRANSPORT,Flid/Avc,Bano Dra(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DON-INFIL,EXT:drain-system,DOM-L-N,external_in,organic N,positive mass input with infiltrating drain water,TRANSPORT,Flid*boundary concentration,Bano Inf(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DON-RUNOFF,DOM-L-N,EXT:surface-water,external_out,organic N,positive surface mass export,Transport/top-layer routing,runoff*surface concentration,Bano R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
DON-RUNON,EXT:adjacent-surface,DOM-L-N,external_in,organic N,positive runon mass input,boundary input / transport,RUNON*runon concentration,Bano Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DON-IRRIGATION,EXT:irrigation,DOM-L-N,external_in,organic N,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Bano Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DON-BOTTOM-UP,EXT:below-profile,DOM-L-N,external_in,organic N,positive upward seepage mass input,TRANSPORT,bottom upward flux*Coaq,Bano Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
DON-BOTTOM-DOWN,DOM-L-N,EXT:below-profile,external_out,organic N,positive downward leaching mass loss,TRANSPORT,bottom outflux*Avc,Bano Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
DOP-VERTICAL,DOM-L-P[layer i],DOM-L-P[layer i+1],internal,organic P,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,TRANSPORT / Transsub,Flib/Flou/Avc,Bapo Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,TRANSPORT.FOR / Transsub.for
DOP-DRAIN,DOM-L-P,EXT:drain-system,external_out,organic P,positive mass loss with drainage,TRANSPORT,Flid/Avc,Bapo Dra(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DOP-INFIL,EXT:drain-system,DOM-L-P,external_in,organic P,positive mass input with infiltrating drain water,TRANSPORT,Flid*boundary concentration,Bapo Inf(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
DOP-RUNOFF,DOM-L-P,EXT:surface-water,external_out,organic P,positive surface mass export,Transport/top-layer routing,runoff*surface concentration,Bapo R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
DOP-RUNON,EXT:adjacent-surface,DOM-L-P,external_in,organic P,positive runon mass input,boundary input / transport,RUNON*runon concentration,Bapo Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DOP-IRRIGATION,EXT:irrigation,DOM-L-P,external_in,organic P,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Bapo Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
DOP-BOTTOM-UP,EXT:below-profile,DOM-L-P,external_in,organic P,positive upward seepage mass input,TRANSPORT,bottom upward flux*Coaq,Bapo Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
DOP-BOTTOM-DOWN,DOM-L-P,EXT:below-profile,external_out,organic P,positive downward leaching mass loss,TRANSPORT,bottom outflux*Avc,Bapo Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
NH4-VERTICAL,N-NH4-AQ[layer i],N-NH4-AQ[layer i+1],internal,NH4-N,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,TRANSPORT / Transsub,Flib/Flou/Avc,Banh Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,TRANSPORT.FOR / Transsub.for
NH4-DRAIN,N-NH4-AQ,EXT:drain-system,external_out,NH4-N,positive mass loss with drainage,TRANSPORT,Flid/Avc,Banh Dra(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
NH4-INFIL,EXT:drain-system,N-NH4-AQ,external_in,NH4-N,positive mass input with infiltrating drain water,TRANSPORT,Flid*boundary concentration,Banh Inf(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
NH4-RUNOFF,N-NH4-AQ,EXT:surface-water,external_out,NH4-N,positive surface mass export,Transport/top-layer routing,runoff*surface concentration,Banh R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
NH4-RUNON,EXT:adjacent-surface,N-NH4-AQ,external_in,NH4-N,positive runon mass input,boundary input / transport,RUNON*runon concentration,Banh Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
NH4-IRRIGATION,EXT:irrigation,N-NH4-AQ,external_in,NH4-N,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Banh Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
NH4-BOTTOM-UP,EXT:below-profile,N-NH4-AQ,external_in,NH4-N,positive upward seepage mass input,TRANSPORT,bottom upward flux*Coaq,Banh Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
NH4-BOTTOM-DOWN,N-NH4-AQ,EXT:below-profile,external_out,NH4-N,positive downward leaching mass loss,TRANSPORT,bottom outflux*Avc,Banh Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
NO3-VERTICAL,N-NO3[layer i],N-NO3[layer i+1],internal,NO3-N,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,TRANSPORT / Transsub,Flib/Flou/Avc,Bani Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,TRANSPORT.FOR / Transsub.for
NO3-DRAIN,N-NO3,EXT:drain-system,external_out,NO3-N,positive mass loss with drainage,TRANSPORT,Flid/Avc,Bani Dra(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
NO3-INFIL,EXT:drain-system,N-NO3,external_in,NO3-N,positive mass input with infiltrating drain water,TRANSPORT,Flid*boundary concentration,Bani Inf(*),ID-SOLUTE-PROFILE,,TRANSPORT.FOR; Outbal_calc.for
NO3-RUNOFF,N-NO3,EXT:surface-water,external_out,NO3-N,positive surface mass export,Transport/top-layer routing,runoff*surface concentration,Bani R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
NO3-RUNON,EXT:adjacent-surface,N-NO3,external_in,NO3-N,positive runon mass input,boundary input / transport,RUNON*runon concentration,Bani Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
NO3-IRRIGATION,EXT:irrigation,N-NO3,external_in,NO3-N,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Bani Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
NO3-BOTTOM-UP,EXT:below-profile,N-NO3,external_in,NO3-N,positive upward seepage mass input,TRANSPORT,bottom upward flux*Coaq,Bani Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
NO3-BOTTOM-DOWN,N-NO3,EXT:below-profile,external_out,NO3-N,positive downward leaching mass loss,TRANSPORT,bottom outflux*Avc,Bani Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
PO4-VERTICAL,P-PO4-AQ[layer i],P-PO4-AQ[layer i+1],internal,PO4-P,positive in hydrological flow direction; adjacent layer outflow is next-layer inflow,Transgen / Transorp / Transsub,Flib/Flou/Avc,Bapp Topd/Topu/Botd/Botu when control-volume boundary crossed,ID-SOLUTE-LAYER,,Transgen.for / Transorp.for / Transsub.for
PO4-DRAIN,P-PO4-AQ,EXT:drain-system,external_out,PO4-P,positive mass loss with drainage,Transgen,Flid/Avc,Bapp Dra(*),ID-SOLUTE-PROFILE,,Transgen.for; Outbal_calc.for
PO4-INFIL,EXT:drain-system,P-PO4-AQ,external_in,PO4-P,positive mass input with infiltrating drain water,Transgen,Flid*boundary concentration,Bapp Inf(*),ID-SOLUTE-PROFILE,,Transgen.for; Outbal_calc.for
PO4-RUNOFF,P-PO4-AQ,EXT:surface-water,external_out,PO4-P,positive surface mass export,Transgen/top-layer routing,runoff*surface concentration,Bapp R_pr/R_l0/R_l1 where defined,ID-SOLUTE-PROFILE,,Outbal_calc.for
PO4-RUNON,EXT:adjacent-surface,P-PO4-AQ,external_in,PO4-P,positive runon mass input,boundary input / transport,RUNON*runon concentration,Bapp Rnon,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
PO4-IRRIGATION,EXT:irrigation,P-PO4-AQ,external_in,PO4-P,positive irrigation solute input,boundary input / transport,PRIRR*irrigation concentration,Bapp Irri,ID-SOLUTE-PROFILE,,BOUNDARY input semantics; Outbal_calc.for
PO4-BOTTOM-UP,EXT:below-profile,P-PO4-AQ,external_in,PO4-P,positive upward seepage mass input,Transgen,bottom upward flux*Coaq,Bapp Botu,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
PO4-BOTTOM-DOWN,P-PO4-AQ,EXT:below-profile,external_out,PO4-P,positive downward leaching mass loss,Transgen,bottom outflux*Avc,Bapp Botd,ID-SOLUTE-PROFILE,,TRANSPORT.FOR / Transgen.for; Outbal_calc.for
NH4-WET-DEPOSITION,EXT:atmosphere,TOP-NH4/N-NH4-AQ,external_in,NH4-N,positive input,boundary/Addit/transport,precipitation*COPRNH,Banh wet deposition/rain terms,ID-N-MANAGEMENT,,BOUNDARY.INP semantics; Addit.for; Outbal_calc.for
NO3-WET-DEPOSITION,EXT:atmosphere,TOP-NO3/N-NO3,external_in,NO3-N,positive input,boundary/Addit/transport,precipitation*COPRNI,Bani wet deposition/rain terms,ID-N-MANAGEMENT,,BOUNDARY.INP semantics; Addit.for; Outbal_calc.for
PO4-WET-DEPOSITION,EXT:atmosphere,TOP-PO4/P-PO4-AQ,external_in,PO4-P,positive input,boundary/Addit/Transgen,precipitation*COPRPO,Bapp wet deposition/rain terms,ID-P-MANAGEMENT,,BOUNDARY.INP semantics; Addit.for; Outbal_calc.for
NH4-DRY-DEPOSITION,EXT:atmosphere,TOP-NH4/N-NH4-AQ,external_in,NH4-N,positive input,Addit,DRDEPNH,Banh deposition dry,ID-N-MANAGEMENT,,Addit.for; Outbal_calc.for
NO3-DRY-DEPOSITION,EXT:atmosphere,TOP-NO3/N-NO3,external_in,NO3-N,positive input,Addit,DRDEPNI,Bani deposition dry,ID-N-MANAGEMENT,,Addit.for; Outbal_calc.for
MANURE-FOM,EXT:management-material,OM-FOM,external_in,organic matter with N/P composition,positive addition,Addit,Qumt*FROR*FR,Bfom/Bano/Bapo Addi,ID-MATERIAL-ADDITION,,Addit.for; ANIMO 4.0 guide management/addition reservoir
MANURE-DOM,EXT:management-material,TOP-DOM-C/TOP-DON/TOP-DOP or DOM-L-* layer,external_in,dissolved organic C/N/P,positive addition,Addit,Qumt*FRCA and composition,Bdom/Bano/Bapo Addi,ID-MATERIAL-ADDITION,,Addit.for
FERT-NH4,EXT:fertilizer,TOP-NH4/N-NH4-AQ,external_in,NH4-N,positive addition after volatilization fraction,Addit,Qumt*FRNH*(1-FRVO),Banh Addi,ID-MATERIAL-ADDITION,,Addit.for
FERT-NO3,EXT:fertilizer,TOP-NO3/N-NO3,external_in,NO3-N,positive addition,Addit,Qumt*FRNI,Bani Addi,ID-MATERIAL-ADDITION,,Addit.for
FERT-PO4,EXT:fertilizer,TOP-PO4/P-PO4-AQ,external_in,PO4-P,positive addition,Addit,Qumt*FRPO,Bapp Addi,ID-MATERIAL-ADDITION,,Addit.for
NH4-VOLATILIZATION,EXT:fertilizer-NH4,EXT:atmosphere,external_out_at_application,NH3-N / applied mineral N,positive fraction removed before retained NH4 state,Addit,Qumt*FRNH*FRVO,Banh Vola,ID-MATERIAL-ADDITION,,Addit.for; Outbal_calc.for
CROP-N-UPTAKE,N-NH4-AQ + N-NO3,CROP-N-ACT,internal_whole_system_external_soil,nitrogen,soil loss equals crop-state gain for realized uptake,Upintg_Plant / Upintg_Grass / Upintg_Extern,Upni; Rsamplni_act += Upni,Banh/Bani Crup/Updf in soil control volume,ID-CROP-N,,Upintg_Plant.for; Upintg_Grass.for; Upintg_Extern.for; Outbal_calc.for
CROP-P-UPTAKE,P-PO4-AQ,CROP-P-ACT,internal_whole_system_external_soil,phosphorus,soil loss equals crop-state gain for realized uptake,Upintg_Plant / Upintg_Grass / Upintg_Extern,Uppo; Rsamplpo_act += Uppo,Bapp Crup/Updf in soil control volume,ID-CROP-P,,Upintg_Plant.for; Upintg_Grass.for; Upintg_Extern.for; Outbal_calc.for
ROOT-DEATH-DM,CROP-ROOT-DM,OM-FOM/OM-EXUDATE,internal_whole_system,crop dry matter / organic matter,plant root loss mapped to soil organic material fractions,Root_plant / Root_grass / Rootdecay / Addit,Osro / Expd / material fractions,Bfom/Bano/Bapo Crpr/Exud,ID-CROP-RESIDUE,,Root_plant.for; Root_grass.for; Rootdecay.for; Addit.for
ROOT-DEATH-N,CROP-N-ACT,OM-FOM N-composition / OM-EXUDATE N-composition,internal_whole_system,nitrogen,plant N decrement paired with residue/exudate material composition where model path defines it,Grassprd / Root_* / Addit,Nifrro*root loss; Nifrex*Ex,Bano Crpr/Exud,ID-CROP-N,,Grassprd.for; Root_*.for; Addit.for
ROOT-DEATH-P,CROP-P-ACT,OM-FOM P-composition / OM-EXUDATE P-composition,internal_whole_system,phosphorus,plant P decrement paired with residue/exudate composition where model path defines it,Grassprd / Root_* / Addit,Pofrro*root loss; Pofrex*Ex,Bapo Crpr/Exud,ID-CROP-P,,Grassprd.for; Root_*.for; Addit.for
HARVEST-RETURN-DM,CROP-SHOOT-DM,OM-FOM,internal_whole_system,crop dry matter,harvest-loss fraction returned as soil residue,Grassprd / Addit,Osha = FROSHA*Yield,Bfom/Bano/Bapo Crpr,ID-CROP-HARVEST,,Grassprd.for; Addit.for
HARVEST-EXPORT-DM,CROP-SHOOT-DM,EXT:harvest,external_out_whole_system,crop dry matter,harvested remainder leaves model system,Grassprd,Yield - Osha (conceptual remainder),not a soil storage ledger term; crop output exposes yield,ID-CROP-HARVEST,,Grassprd.for; ANIMO 4.0 crop-cycle concept
GRAZING-RETURN-DM,CROP-SHOOT-DM,OM-FOM,internal_whole_system,crop dry matter,grazing-loss fraction returned as material/residue path,Grassprd / Addit,Osgr = FROSGR*Upgr*St,Bfom/Bano/Bapo Crpr,ID-CROP-GRAZING,,Grassprd.for; Addit.for
GRAZING-EXPORT-DM,CROP-SHOOT-DM,EXT:grazing-consumption,external_out_whole_system,crop dry matter,consumed remainder leaves plant+soil control volume unless separately returned by management,Grassprd,Upgr*St - Osgr (conceptual remainder),not a soil storage ledger term,ID-CROP-GRAZING,,Grassprd.for
PLOUGH-FOM,OM-FOM[top/mixed layers],OM-FOM[redistributed layers],internal,organic matter with N/P composition,sum loss from original stores must equal sum gain after redistribution,Addit,Adospl / Os redistribution terms,Bfom/Bano/Bapo Redi,ID-REDISTRIBUTION,,Addit.for; Outbal_calc.for
PLOUGH-HUMUS,OM-HUMUS/OM-HUMUS-EX,same states redistributed,internal,organic matter with N/P composition,profile-total unchanged,Addit,Adhu* redistribution terms,Bahu/Bano/Bapo Redi,ID-REDISTRIBUTION,,Addit.for; Outbal_calc.for
PLOUGH-DOM,TOP-DOM-C/TOP-DON/TOP-DOP + DOM-L-*,DOM-L-* redistributed,internal,dissolved organic C/N/P,top-reservoir loss plus layer gains must cancel for encompassing control volume,Addit,Addior*toppl + Addior*pl,Bdom/Bano/Bapo Redi,ID-REDISTRIBUTION,TCD-017,Organic-P public ledger omits Addiorpotoppl although state redistribution is conservative
PLOUGH-PO4,TOP-PO4/P stores,P-PO4-AQ/P-FAST/P-SLOW/P-PRECIP redistributed,internal,phosphorus,top and layer redistribution contributions cancel for profile,Addit,Adpotoppl/Adpppl/Adpoprpl etc.,Bapp Redi,ID-REDISTRIBUTION,,Addit.for; Outbal_calc.for
FOM-TO-HUMUS,OM-FOM,OM-HUMUS,internal,organic matter with associated N/P,assimilated fraction enters humus; remainder follows respiration/DOM/mineral release according to process partition,Resp_miner,Transfom/Transfon/Transfop slots; Asfa/Hufros,Bfom/Bahu/Bano/Bapo Form/Diss and detailed Baf*,ID-ORG-TRANSFORM,,resp_miner.for; Outbal_calc.for
FOM-TO-DOM,OM-FOM,DOM-L-C/DOM-L-N/DOM-L-P,internal,organic matter/N/P,source loss and dissolved gain paired by species-specific composition,Resp_miner / Addit material partition,Transfo* detailed terms,Bfom/Bdom/Bano/Bapo Diss/Form and Baf*,ID-ORG-TRANSFORM,,resp_miner.for; Addit.for
EXUDATE-TO-HUMUS,OM-EXUDATE,OM-HUMUS-EX,internal,organic matter/N/P,exudate loss partitioned between humus and mineral/respired products,Resp_miner,Transfo* exudate terms,Bfom/Bahu/Bano/Bapo; Baf*,ID-ORG-TRANSFORM,,resp_miner.for
DOM-L-TO-HUMUS,DOM-L-C/DOM-L-N/DOM-L-P,OM-HUMUS,internal,organic matter/N/P,labile DOM decomposition partition conserves each elemental/OM quantity subject to gaseous/mineral products,Resp_miner,Transfo* DOM terms,Bdom/Bahu/Bano/Bapo; Baf*,ID-ORG-TRANSFORM,,resp_miner.for
DOM-S-TO-HUMUS-P,DOM-S-P,OM-HUMUS / P-PO4-AQ depending assimilation/release,internal,phosphorus,"P partition must derive from P transformed mass, not N transformed mass",Resp_miner,Transfop(17/19/20); Tomnpo,Bapo/Bapp and Bafop,ID-STABLE-DOM-P,TCD-023,Resp_miner Case(2) uses Transfon17 in P partition for Transfop19/20; source-confirmed cross-species defect
ORG-C-RESPIRATION,OM-FOM/OM-HUMUS/OM-EXUDATE/DOM pools,EXT:CO2 and/or GHG-CH4-SYS,external_or_ghg_internal,carbon/organic matter conversion,organic substrate C-equivalent loss should equal gaseous C products under the selected GHG formulation; full rev53 elemental-C reconciliation not yet qualified,Resp_miner / ghgasses,CO2/CH4 production terms,BAOM/Btom/GHG outputs where active,ID-C-GHG-OPEN,,resp_miner.for; ghgasses.for; public C/OM ledger reconciliation remains open
N-MINERALIZATION,organic-N stores,N-NH4-AQ,internal,nitrogen,positive Tomnni is organic-N loss paired with mineral-N gain,Resp_miner,Tomnni; Rekonh,Bano/Banh Minn/Ming,ID-N-MINERALIZATION,,resp_miner.for; Outbal_calc.for
N-IMMOBILIZATION,N-NH4-AQ,organic-N stores,internal,nitrogen,negative Tomnni is mineral-N loss paired with organic-N gain,Resp_miner,Tomnni<0,Banh/Bano Immo,ID-N-MINERALIZATION,,resp_miner.for; Outbal_calc.for
P-MINERALIZATION,organic-P stores,P-PO4-AQ,internal,phosphorus,positive Tomnpo is organic-P loss paired with mineral-P gain,Resp_miner,Tomnpo; Rekopo,Bapo/Bapp Minn/Ming,ID-P-MINERALIZATION,TCD-023,resp_miner.for; Outbal_calc.for
P-IMMOBILIZATION,P-PO4-AQ,organic-P stores,internal,phosphorus,negative Tomnpo is mineral-P loss paired with organic-P gain,Resp_miner,Tomnpo<0,Bapp/Bapo Immo,ID-P-MINERALIZATION,TCD-023,resp_miner.for; Outbal_calc.for
N-NITRIFICATION,N-NH4-AQ,N-NO3 + GHG-N2O-SYS when enabled,internal_plus_gaseous_partition,nitrogen,NH4 consumption partitions to NO3-N and N2O-N according to active GHG branch; non-GHG ledger should pair NH4 loss and NO3 gain,Rates / Denitr / transport source terms,Rekinh; FrNitrN2O,Banh/Bani Nitr; GHG N2O production,ID-NITRIFICATION,,Rates.for; Denitr.for; ghg_n2o.for; Outbal_calc.for
N-DENITRIFICATION,N-NO3,EXT:N2 + GHG-N2O-SYS,external_or_ghg_internal,nitrogen,NO3-N loss partitions to gaseous N products under active denitrification/GHG formulation,Denitr / ghg_n2o,Rekonide; QPrN2Oden,Bani Deni/PDen; GHG N2O terms,ID-DENITRIFICATION,,Denitr.for; ghg_n2o.for; Outbal_calc.for
P-FAST-SORPTION,P-PO4-AQ,P-FAST,internal_phase,phosphorus,aqueous loss equals fast-sorbed gain for finite state change,Transgen / Transorp,Copo <-> Amcxfa,Bapp storage change; no external ledger transfer,ID-P-SORPTION,TCD-014;TCD-019,Transgen.for; Transorp.for; initialization and small-delta numerical seams
P-SLOW-SORPTION,P-PO4-AQ,P-SLOW,internal_phase,phosphorus,aqueous loss equals slow-sorbed gain per site,Transgen / Transorp,Copo <-> Amcxsl,Bapp storage change,ID-P-SORPTION,TCD-024,Transorp site-index defect can bind wrong affinity parameter
