state_id,symbol,species,phase,spatial_owner,routine_owner,unit,storage_nonstorage,conserved_quantity,initialization_path,mutation_routines,output_balance_exposure,evidence_path
DOM-L-P,Codiorpo(:) -> Rscodiorpo(:),dissolved organic P,aqueous plus instantaneous sorbed contribution,layer 0 + soil layers,Transca / Transport / Transsub / Init,kg P m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,phosphorus,INITIAL orgsol; top/addition paths,Transca; Transport; Transsub; Addit; Init,Bapo storage uses (Mofr+Rhbd*SocfDOM)*Codiorpo,Outbal_Init.for; Outbal_calc.for; Transca.for; TRANSPORT.FOR
DOM-S-C,CoStdiorma(:) -> RsCoStdiorma(:),stable dissolved organic matter,aqueous plus instantaneous sorbed contribution,soil layers; layer 0 dormant,Resp_miner / Init,kg OM m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,organic matter mass,INITIAL sdomin,Resp_miner; Init,Bdom storage uses (Mofr+Rhbd*SocfSDO)*CoStdiorma,Outbal_Init.for; Outbal_calc.for; resp_miner.for; Init.for
DOM-S-N,CoStdiorni(:) -> RsCoStdiorni(:),stable dissolved organic N,aqueous plus instantaneous sorbed contribution,soil layers; layer 0 dormant,Resp_miner / Init,kg N m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,INITIAL sdomin,Resp_miner; Init,Bano storage uses (Mofr+Rhbd*SocfSDO)*CoStdiorni,Outbal_Init.for; Outbal_calc.for; resp_miner.for; Init.for
DOM-S-P,CoStdiorpo(:) -> RsCoStdiorpo(:),stable dissolved organic P,aqueous plus instantaneous sorbed contribution,soil layers; layer 0 dormant,Resp_miner / Init,kg P m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,phosphorus,INITIAL sdomin,Resp_miner; Init,Bapo storage uses (Mofr+Rhbd*SocfSDO)*CoStdiorpo; TCD-023 process source seam,Outbal_Init.for; Outbal_calc.for; resp_miner.for; TCD-023
N-NH4-AQ,Conh(:) -> Rsconh(:),NH4-N,aqueous,layer 0 + soil layers,Transport / Transsub / Init,kg N m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,INITIAL ammoni; management/boundary input,Transport; Transsub; Resp_miner source; nitrification sink; uptake; Init,Banh liquid storage and transfer terms; TCD-016 dry-down seam,Outbal_Init.for; Outbal_calc.for; TRANSPORT.FOR; Transsub.for; TCD-016
N-NH4-ADS,Cxnh(:) -> Rscxnh(:),NH4-N,adsorbed,soil layers,Transport / Transsub / Init,kg N m-2 layer,PHYSICAL_STORAGE,nitrogen,initial equilibrium/derived NH4 sorption path,Transport; Transsub; Init,Banh Inip_x/Finp_x,Outbal_Init.for; Outbal_calc.for; TRANSPORT.FOR; Init.for
N-NO3,Coni(:) -> Rsconi(:),NO3-N,aqueous,layer 0 + soil layers,Transport / Transsub / Denitr / Init,kg N m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,INITIAL nitrat; management/boundary input,Transport; Transsub; nitrification/denitrification source-sink; uptake; Init,Bani liquid storage and transfer terms; TCD-015,Outbal_Init.for; Outbal_calc.for; Transsub.for; Denitr.for; TCD-015
P-PO4-AQ,Copo(:) -> Rscopo(:),PO4-P,aqueous,layer 0 + soil layers,Transgen / Transorp / Transsub / Init,kg P m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,phosphorus,INITIAL inipho or total-P initialization projection,Transgen; Transorp; Transsub; Resp_miner source; uptake; Init,Bapp liquid storage and transfer terms; TCD-014/TCD-019,Outbal_Init.for; Outbal_calc.for; Transgen.for; Transorp.for; TCD-014; TCD-019
P-FAST,"Amcxfa(site,:) -> Rsamcxfa(site,:)",PO4-P,equilibrium sorbed,soil layer and fast site,Transgen / Transorp / Init,kg P m-3 soil,PHYSICAL_STORAGE,phosphorus,INITIAL inipho or equilibrium initialization,Transgen; Transorp; Init,Bapp Inip_x/Finp_x via Toamcxfa,Outbal_Init.for; Outbal_calc.for; Transgen.for; Transorp.for
P-SLOW,"Amcxsl(site,:) -> Rsamcxsl(site,:)",PO4-P,kinetic/non-equilibrium sorbed,soil layer and slow site,Transgen / Transorp / Init,kg P m-3 soil,PHYSICAL_STORAGE,phosphorus,INITIAL inipho or initialization projection,Transgen; Transorp; Init,Bapp Inip_x/Finp_x via Toamcxsl; TCD-024,Outbal_Init.for; Outbal_calc.for; Transgen.for; Transorp.for; TCD-024
P-PRECIP,Ampopr(:) -> Rsampopr(:),PO4-P,precipitated solid,soil layer,Transgen / Transorp / Addit / Init,kg P m-3 soil,PHYSICAL_STORAGE,phosphorus,INITIAL inipho or initialization projection,Transgen; Transorp; Addit; Init,Bapp Inip_p/Finp_p,Outbal_Init.for; Outbal_calc.for; Transgen.for; Transorp.for
CROP-SHOOT-DM,Amplsh -> Rsamplsh,crop dry matter,plant shoot,crop compartment,Grassprd / crop model / Init,kg dry matter m-2,PHYSICAL_STORAGE_PLANT,crop dry matter (not a standalone elemental-C ledger),INITIAL orgpla / crop initialization,Grassprd; external crop path; Init,Grass outputs; not included as storage in soil BAOM/BAN*/BAP*,Grassprd.for; Init.for; Outputgr-related source
CROP-ROOT-DM,Amplro -> Rsamplro,crop dry matter,plant root,crop compartment,Grassprd / Root_* / Init,kg dry matter m-2,PHYSICAL_STORAGE_PLANT,crop dry matter (not a standalone elemental-C ledger),INITIAL orgpla / root development initialization,Grassprd; Root_*; Init,Grass outputs; root-death/crop-residue transfers enter soil ledgers,Grassprd.for; Root_plant.for; Root_grass.for; Init.for
CROP-N-ACT,Amplni_act -> Rsamplni_act,plant N,plant biomass,crop compartment,Upintg_* / Grassprd / Init,kg N m-2,PHYSICAL_STORAGE_PLANT,nitrogen,INITIAL orgpla or crop initialization,Upintg_Plant/Grass/Extern adds uptake; Grassprd removes harvest/grazing/root losses; Init,soil N ledgers expose uptake/residue fluxes but not crop stock itself,Upintg_Plant.for; Upintg_Grass.for; Upintg_Extern.for; Grassprd.for; Init.for
CROP-P-ACT,Amplpo_act -> Rsamplpo_act,plant P,plant biomass,crop compartment,Upintg_* / Grassprd / Init,kg P m-2,PHYSICAL_STORAGE_PLANT,phosphorus,INITIAL orgpla or crop initialization,Upintg_Plant/Grass/Extern adds uptake; Grassprd removes harvest/grazing/root losses; Init,soil P ledgers expose uptake/residue fluxes but not crop stock itself,Upintg_Plant.for; Upintg_Grass.for; Upintg_Extern.for; Grassprd.for; Init.for
CROP-N-POT,Amplni_pot -> Rsamplni_pot,plant N demand/reference,derived plant state,crop compartment,Uptake parameter routines / Init,kg N m-2,DERIVED_STATE,none directly; demand target,crop initialization,Uptpar_*; Init,not a conserved storage term,Init.for; Uptpar_Plant.for; Uptpar_Extern.for
CROP-P-POT,Amplpo_pot -> Rsamplpo_pot,plant P demand/reference,derived plant state,crop compartment,Uptake parameter routines / Init,kg P m-2,DERIVED_STATE,none directly; demand target,crop initialization,Uptpar_*; Init,not a conserved storage term,Init.for; Uptpar_Plant.for; Uptpar_Extern.for
GHG-CH4-SYS,CsCH4(:) -> RsCsCH4(:),CH4-C,combined air+water gas system,soil layer,GHGtransport / ghg_ch4 / initialization,kg CH4-C m-3 soil,PHYSICAL_STORAGE_GHG,carbon as CH4-C,INITIAL methan; Inicalc converts system concentration to water concentration,ghg_ch4; GHGtransport,GHG output/restart and selected OM/GHG balance terms; exact rev53 full C-ledger reconciliation open,input1.for; Inicalc.for; ghg_ch4.for; ghgtransport.for
GHG-CH4-WATER,CoCH4(:) -> RsCoCH4(:),CH4-C,aqueous gas concentration,soil water,GHGtransport / ghg_ch4 / Init,kg CH4-C m-3 water,DERIVED_PHASE_STATE,carbon as CH4-C through system storage,derived from CsCH4 and Bunsen partition,ghg_ch4; GHGtransport; Init,GHG outputs; system storage is CsCH4,Inicalc.for; ghgtransport.for; Init.for
GHG-N2O-SYS,CsN2O(:) -> RsCsN2O(:),N2O-N,combined air+water gas system,soil layer,GHGtransport / ghg_n2o / initialization,kg N2O-N m-3 soil,PHYSICAL_STORAGE_GHG,nitrogen as N2O-N,INITIAL nitoxi; Inicalc converts system concentration to water concentration,ghg_n2o; GHGtransport,GHG output/restart and N-linked GHG terms; exact rev53 full N-ledger reconciliation open,input1.for; Inicalc.for; ghg_n2o.for; ghgtransport.for
GHG-N2O-WATER,CoN2O(:) -> RsCoN2O(:),N2O-N,aqueous gas concentration,soil water,GHGtransport / ghg_n2o / Init,kg N2O-N m-3 water,DERIVED_PHASE_STATE,nitrogen as N2O-N through system storage,derived from CsN2O and Bunsen partition,ghg_n2o; GHGtransport; Init,GHG outputs; system storage is CsN2O,Inicalc.for; ghgtransport.for; Init.for
MP-DOM-C,CoMpDiorMa -> RsCoMpDiorMa,labile dissolved organic matter,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,organic matter mass,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
MP-DON,CoMpDiorNi -> RsCoMpDiorNi,dissolved organic N,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
MP-DOP,CoMpDiorPo -> RsCoMpDiorPo,dissolved organic P,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,phosphorus,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
MP-NH4,CoMpNh -> RsCoMpNh,NH4-N,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
MP-NO3,CoMpNi -> RsCoMpNi,NO3-N,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,nitrogen,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
MP-PO4,CoMpPo -> RsCoMpPo,PO4-P,macropore aqueous,macropore domain,MAPOTRANSPORT / Init,kg m-3 water,PHYSICAL_STORAGE_VIA_CONCENTRATION,phosphorus,macropore initial input,MAPOTRANSPORT; Init,specialized storage SrWaMp*CoMp; main public ledger incomplete; TCD-025,MAPOTRANSPORT.FOR; Init.for; Outbal_calc.for; TCD-025
DERIVED-P-FAST-TOTAL,Toamcxfa(:) / Rstoamcxfa(:),PO4-P,derived summed sorbed,soil layer,Transgen / Transorp,kg P m-3 soil,DERIVED_STATE,none independently; sum of P-FAST sites,computed from Amcxfa,Transgen; Transorp,Bapp storage exposure helper,Transgen.for; Transorp.for; Outbal_Init.for
DERIVED-P-SLOW-TOTAL,Toamcxsl(:) / Rstoamcxsl(:),PO4-P,derived summed sorbed,soil layer,Transgen / Transorp,kg P m-3 soil,DERIVED_STATE,none independently; sum of P-SLOW sites,computed from Amcxsl,Transgen; Transorp,Bapp storage exposure helper,Transgen.for; Transorp.for; Outbal_Init.for
RATE-N-MIN,"Tomnni(:), Rekonh(:)",net mineral N source/sink,rate,soil layer,Resp_miner,kg N m-2 step-1 / kg N m-3 d-1,RATE_ONLY,none as storage,computed each step,Resp_miner,Banh/Bano Minn/Immo/Ming related terms,resp_miner.for; Outbal_calc.for
RATE-P-MIN,"Tomnpo(:), Rekopo(:)",net mineral P source/sink,rate,soil layer,Resp_miner,kg P m-2 step-1 / kg P m-3 d-1,RATE_ONLY,none as storage,computed each step,Resp_miner,Bapp/Bapo Minn/Immo/Ming related terms; TCD-023 source can perturb,resp_miner.for; Outbal_calc.for; TCD-023
REPORT-MAIN-BAL,Bawa/Bfom/Bahu/Bdom/Banh/Bani/Bano/Bapp/Bapo,water/OM/N/P,reporting accumulator,balance profile and period,Outbal_Init / Outbal_calc / Outbal_write,balance-family dependent,REPORTING_ACCUMULATOR,none; observer only,zeroed/reinitialized per balance period,Outbal_Init; Outbal_calc; Outbal_write,public balance outputs,Outbal_Init.for; Outbal_calc.for; Outbal_write.for
REPORT-DETAILED-TRANS,Bafom/Bafon/Bafop,OM/N/P,reporting accumulator,balance profile and process slot,Outbal_calc / Outbal_write,kg ha-1 period-1,REPORTING_ACCUMULATOR,none; observer only,zeroed/reinitialized with balance period,Outbal_calc; Outbal_write,detailed organic transformations; TCD-027,Outbal_calc.for; Outbal_write.for; TCD-027
REPORT-AVERAGE-CONC,Avc* / AvCo*,multiple species,time-step average,layer / top reservoir,Transport / GHGtransport / process routines,kg m-3,DERIVED_STATE,none independently,computed from start/result state,Transport; Transgen; GHGtransport,used for flux/rate evaluation and output; not storage by itself,TRANSPORT.FOR; Transgen.for; ghgtransport.for
