case_id,boundary_class,coordinate_group,coordinate,comparison_mode,continuous_value,restart_value,equal,max_abs_difference,policy,notes
STATEQ02-SPLIT-68,P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE_NEGATIVE_CONTROL,external_crop_continuation,Rsamplni_act;Rsamplni_pot;Rsamplpo_act;Rsamplpo_pot,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,external crop cumulative continuation exact
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,accepted_restore,full accepted checkpoint projection,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,restore echo byte-identical to uninterrupted accepted trace record
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,future_physical_trace,steps 72-95,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,24 post-restore accepted records byte-identical
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,hydrology_frame,Pnt;Snt;Sict;Walet;Mofrt,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,exact frame replay and future hydrology coordinates identical
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,management_cursor,Adnr;Tinead;Kicrold;Manper,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,accepted management continuation exact
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,upper_boundary_reservoirs,six Rs*top reservoirs,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,nonzero reservoir state preserved exactly
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,p_site_state,Rsamcxfa;Rsamcxsl;Rsampopr;Rscopo,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,explicit fast/slow/precipitated/aqueous P state preserved exactly
STATEQ02-SPLIT-71,YEAR_ADJACENT|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,external_crop_continuation,Rsamplni_act;Rsamplni_pot;Rsamplpo_act;Rsamplpo_pot,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,external crop cumulative continuation exact
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,accepted_restore,full accepted checkpoint projection,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,restore echo byte-identical to uninterrupted accepted trace record
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,future_physical_trace,steps 73-100,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,28 post-restore accepted records byte-identical
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,hydrology_frame,Pnt;Snt;Sict;Walet;Mofrt,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,exact frame replay and future hydrology coordinates identical
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,management_cursor,Adnr;Tinead;Kicrold;Manper,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,accepted management continuation exact
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,upper_boundary_reservoirs,six Rs*top reservoirs,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,nonzero reservoir state preserved exactly
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,p_site_state,Rsamcxfa;Rsamcxsl;Rsampopr;Rscopo,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,explicit fast/slow/precipitated/aqueous P state preserved exactly
STATEQ02-SPLIT-72,YEAR_BOUNDARY|P_ACTIVE|UPPER_RESERVOIR_NONZERO|ZERO_SURFACE_STORAGE,external_crop_continuation,Rsamplni_act;Rsamplni_pot;Rsamplpo_act;Rsamplpo_pot,EXACT_BITWISE,BITWISE_IDENTICAL,BITWISE_IDENTICAL,true,0,NO_TOLERANCE,external crop cumulative continuation exact
STATEQ02-GUARD-282,POSITIVE_SURFACE_REJECTION_SENTINEL|TCD-040_LAYER0_ACTIVE_SENTINEL,guard,Pnt/layer0,EXACT_GUARD,REJECT,REJECT,true,,NO_TOLERANCE,exit 95; no checkpoint created
