state_id,quantity,class,canonical_owner,unit,dimensions,feature_guard,accepted_trial_role,initialization_source,checkpoint_requirement,restart_restore_rule,derived_recomputable,b3_status,blocker,evidence_refs
ADD-001,virtual addition reservoir NH4,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg N m-3 water,scalar top reservoir,addition_reservoirs=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL ammoni top field or Addit,MANDATORY_IF_ENABLED,restore Rsconhtop with its reservoir geometry/release contract,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and split-run qualification outstanding; not the TCD-016 continuation phase,PREP06;PREP12;SQ01
ADD-002,virtual addition reservoir NO3,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg N m-3 water,scalar top reservoir,addition_reservoirs=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL nitrat top field or Addit,MANDATORY_IF_ENABLED,restore Rsconitop with its reservoir geometry/release contract,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and split-run qualification outstanding,PREP06;PREP12
ADD-003,virtual addition reservoir labile DOM,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg OM m-3 water,scalar top reservoir,addition_reservoirs=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL orgsol top field or Addit,MANDATORY_IF_ENABLED,restore Rscodiormatop with exact reservoir state,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and split-run qualification outstanding,PREP06;PREP12
ADD-004,virtual addition reservoir DON,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg N m-3 water,scalar top reservoir,addition_reservoirs=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL orgsol top field or Addit,MANDATORY_IF_ENABLED,restore Rscodiornitop with exact reservoir state,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and split-run qualification outstanding,PREP06;PREP12
ADD-005,virtual addition reservoir PO4,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg P m-3 water,scalar top reservoir,addition_reservoirs=on;p_cycle=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL inipho top field or Addit,MANDATORY_IF_ENABLED,restore Rscopotop with exact reservoir state,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and P restart qualification outstanding,PREP06;PREP12
ADD-006,virtual addition reservoir DOP,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO management addition reservoir owner,kg P m-3 water,scalar top reservoir,addition_reservoirs=on;p_cycle=on,ACCEPTED_CONDITIONAL_OWNER;TRIAL_MUTABLE,INITIAL inipho/orgsol top field or Addit,MANDATORY_IF_ENABLED,restore Rscodiorpotop with exact reservoir state,no,READY_CANDIDATE_NOT_ADMITTED,management cursor and split-run qualification outstanding,PREP06;PREP12
SURFAQ-001,layer0 aqueous NH4,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg N m-3 water,scalar layer0,surface_aqueous_active,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Conh(0) and transport/addition/boundary state,MANDATORY_WHEN_ACTIVE,restore exact layer0 aqueous coordinate against exact accepted surface-water state,no,PROFILE_BLOCKED_BY_TCD016,aqueous coordinate is source-supported but no admitted continuation owner exists across low-storage deactivation,TCD-016;PREP06;SQ01;PREP12
SURFAQ-002,layer0 aqueous NO3,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg N m-3 water,scalar layer0,surface_aqueous_active,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Coni(0) and transport/addition/boundary state,MANDATORY_WHEN_ACTIVE,restore exact layer0 aqueous coordinate against exact accepted surface-water state,no,SHARED_SEAM_REACHABLE_NOT_ADMITTED,shared low-storage seam reachable but exact NH4-like deletion not established,SQ01;PREP06;PREP12
SURFAQ-003,layer0 labile dissolved organic matter,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg OM m-3 water,scalar layer0,surface_aqueous_active,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Codiorma(0) and transport/addition state,MANDATORY_WHEN_ACTIVE,restore exact layer0 coordinate against exact accepted surface-water state,no,SHARED_SEAM_REACHABLE_PARAMETER_AUDIT_OPEN,layer0 parameter initialization and shared seam need separate qualification,SQ01;PREP06;PREP12
SURFAQ-004,layer0 dissolved organic nitrogen,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg N m-3 water,scalar layer0,surface_aqueous_active,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Codiorni(0) and transport/addition state,MANDATORY_WHEN_ACTIVE,restore exact layer0 coordinate against exact accepted surface-water state,no,SHARED_SEAM_REACHABLE_PARAMETER_AUDIT_OPEN,layer0 parameter initialization and shared seam need separate qualification,SQ01;PREP06;PREP12
SURFAQ-005,layer0 aqueous PO4,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg P m-3 water,scalar layer0,surface_aqueous_active;p_cycle=on,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Copo(0) and transport/addition state,MANDATORY_WHEN_ACTIVE,restore exact layer0 coordinate against exact accepted surface-water state,no,SHARED_SEAM_REACHABLE_NOT_ADMITTED,source confirms TCD-016 seam reachability but no historical PO4 defect claim,SQ01;PREP06;PREP12
SURFAQ-006,layer0 dissolved organic phosphorus,CORE_STATE_READY_CANDIDATE,ANIMO surface aqueous chemistry owner,kg P m-3 water,scalar layer0,surface_aqueous_active;p_cycle=on,ACCEPTED_OWNER_WHILE_AQUEOUS_COMPARTMENT_ACTIVE;TRIAL_MUTABLE,INITIAL Codiorpo(0) and transport/addition state,MANDATORY_WHEN_ACTIVE,restore exact layer0 coordinate against exact accepted surface-water state,no,SHARED_SEAM_REACHABLE_PARAMETER_AUDIT_OPEN,layer0 parameter initialization and shared seam need separate qualification,SQ01;PREP06;PREP12
SURFAQ-007,proposed non-aqueous NH4 continuation mass,UNRESOLVED_SCIENTIFIC_STATE,unadmitted proposed surface chemistry owner,kg N m-2,scalar surface,surface_aqueous_deactivation_possible,NOT_CANONICAL;WOULD_BE_ACCEPTED_OWNER_ONLY_IF_SCIENCE_ADMITTED,no revision-53 canonical initialization; SQ01 model-extension hypothesis,FORBIDDEN_AS_CANONICAL_FIELD_UNTIL_ADMITTED,no restore rule may be assumed; future rule requires separate science and restart qualification,no,BLOCKED_PENDING_SCIENCE,TCD-016-C1 phase identity dry-hold and remobilization unresolved,SQ01 TCD016_C1
SURFAQ-008,stable layer0 DOM DON DOP family,FEATURE_STATE_BLOCKED,unadmitted/dormant surface chemistry owner,mixed,scalar layer0,stable_surface_dom=on,UNSUPPORTED_DORMANT_IN_REV53,legacy parser-visible but revision-53 Addit forces stable layer0 state to zero,NOT_CHECKPOINTABLE_AS_ADMITTED_STATE,fail closed if configuration requests dormant stable layer0 state,no,BLOCKED_DORMANT_FEATURE,not an active qualified revision-53 owner,PREP06;ARCH04
CROP-001,crop shoot dry matter,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO crop owner,kg dry matter m-2,scalar,crop_mode=animo,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP or admitted crop initialization,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted mass,no,READY_CANDIDATE_FEATURE_PROFILE_NOT_ADMITTED,crop profile restart continuity still blocked,PREP06;ARCH04;TS01;PREP12
CROP-002,crop root dry matter,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO crop owner,kg dry matter m-2,scalar,crop_mode=animo,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP or admitted crop initialization,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted mass,no,READY_CANDIDATE_FEATURE_PROFILE_NOT_ADMITTED,crop profile restart continuity still blocked,PREP06;ARCH04;TS01;PREP12
CROP-003,cumulative actual crop nitrogen uptake and stock coordinate,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO crop owner,kg N m-2,scalar,crop_mode=animo,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP orgpla or crop initialization,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted value before any crop demand calculation,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,RG02-LCL-PLANT-ACTUAL-UPTAKE-RESTART-DIRECTION; source-local TCD-033 is not canonical,PREP06;TS01;PREP12
CROP-004,cumulative actual crop phosphorus uptake and stock coordinate,OPTIONAL_FEATURE_STATE_READY_CANDIDATE,ANIMO crop owner,kg P m-2,scalar,crop_mode=animo;p_cycle=on,ACCEPTED_OWNER;TRIAL_MUTABLE;G_ACTUAL_RESULT_PROMOTES,INITIAL.INP orgpla or crop initialization,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact accepted value without Output_Init clamp before demand calculation,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,RG02-LCL-PLANT-ACTUAL-UPTAKE-RESTART-DIRECTION plus serializer clamp; source-local TCD-033 is not canonical,PREP06;TS01;PREP12;ARCH02
CROP-005,cumulative potential crop nitrogen uptake continuation,NUMERICAL_CONTINUATION,ANIMO crop continuation owner,kg N m-2,scalar,crop_mode=animo,ACCEPTED_CONTINUATION_STATE;TRIAL_ADVANCE;COMMIT_ON_ACCEPT,crop initialization and prior accepted potential uptake,MANDATORY_FOR_APPLICABLE_PLANT_MODES,restore exact accepted potential uptake; zero reset forbidden unless scientifically qualified,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,RG02-LCL-PLANT-POTENTIAL-UPTAKE-RESTART-STATE; source-local TCD-034 is not canonical,PREP06;TS01;PREP12
CROP-006,cumulative potential crop phosphorus uptake continuation,NUMERICAL_CONTINUATION,ANIMO crop continuation owner,kg P m-2,scalar,crop_mode=animo;p_cycle=on,ACCEPTED_CONTINUATION_STATE;TRIAL_ADVANCE;COMMIT_ON_ACCEPT,crop initialization and prior accepted potential uptake,MANDATORY_FOR_APPLICABLE_PLANT_MODES,restore exact accepted potential uptake; zero reset forbidden unless scientifically qualified,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,RG02-LCL-PLANT-POTENTIAL-UPTAKE-RESTART-STATE; source-local TCD-034 is not canonical,PREP06;TS01;PREP12
CROP-007,remaining crop demand deficit stage and rotation continuation,UNRESOLVED_SCIENTIFIC_STATE,ANIMO crop continuation owner,mixed,[crop;stage],crop_mode=animo,ACCEPTED_CONTINUATION_SET_NOT_YET_MINIMIZED;TRIAL_ADVANCE;COMMIT_ON_ACCEPT,legacy crop initialization and prior accepted continuation,MANDATORY_SET_NOT_YET_MINIMIZED,restore only source-qualified future-influencing continuation after exact family is identified,no,BLOCKED_FOR_CANONICAL_CROP_CHECKPOINT,TS01 shows additional potentially continuation-relevant crop variables outside INITIAL.OUT; exact minimal set unresolved,TS01;ARCH02;PREP12
CROP-008,external crop frame identity,EXTERNAL_OWNER_REFERENCE,external crop owner,identity,scalar,crop_mode=external,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,external coupling bind,MANDATORY_REFERENCE,rebind exact crop frame/generation for accepted interval,no,READY_CANDIDATE_NOT_ADMITTED,external crop frame schema/admission required,ARCH01;ARCH04;TIME01
MGMT-001,event schedule identity,NUMERICAL_CONTINUATION,ANIMO configuration/scheduler owner,identity,scalar,always,ACCEPTED_IMMUTABLE_IDENTITY;TRIAL_BOUND,MANAGEMENT input normalization,MANDATORY,restore exact event schedule identity,no,READY_CANDIDATE_NOT_ADMITTED,canonical schedule/config admission remains separate,TIME01;TS01
MGMT-002,next management event cursor and source-row identity,NUMERICAL_CONTINUATION,ANIMO scheduler continuation owner,index plus identity,scalar,always,ACCEPTED_CONTINUATION_METADATA;TRIAL_ADVANCE;COMMIT_ON_ACCEPT,management reader initialization and accepted schedule position,MANDATORY_OR_PROVEN_DETERMINISTIC_RECONSTRUCTION,restore exact next-event identity or admitted deterministic reconstruction,no,READY_CANDIDATE_NOT_ADMITTED,legacy Adnr/Tinead omitted by INITIAL.OUT; split-run proof missing,TS01;TIME01
MGMT-003,crop rotation and year-boundary scheduler continuation,NUMERICAL_CONTINUATION,ANIMO scheduler continuation owner,index/time identity,scalar,always,ACCEPTED_CONTINUATION_METADATA;TRIAL_ADVANCE;COMMIT_ON_ACCEPT,normalized configuration plus accepted time,MANDATORY_OR_PROVEN_DETERMINISTIC_RECONSTRUCTION,restore exact scheduler position before any event mutation,no,READY_CANDIDATE_NOT_ADMITTED,year/crop boundary split-run qualification missing,TS01;TIME01
MP-001,macropore water storage,EXTERNAL_OWNER_REFERENCE,hydrology macropore owner,m3 water m-2,[domain;layer or hydrology domain coordinate],macropores=on,ACCEPTED_EXTERNAL_REFERENCE;TRIAL_FRAME_IMMUTABLE,hydrology macropore frame,MANDATORY_REFERENCE_IF_FEATURE_ADMITTED,rebind exact macropore hydrology state; never reconstruct zero,no,BLOCKED_PROFILE_FEATURE_NOT_ADMITTED,TCD-025 main/public control-volume gap plus feature not admitted,MP02;PREP06;ARCH01
MP-002,macropore DOC concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg OM m-3 water,[macropore_domain],macropores=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
MP-003,macropore DON concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg N m-3 water,[macropore_domain],macropores=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
MP-004,macropore NH4 concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg N m-3 water,[macropore_domain],macropores=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
MP-005,macropore NO3 concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg N m-3 water,[macropore_domain],macropores=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
MP-006,macropore DOP concentration,FEATURE_STATE_BLOCKED,ANIMO macropore solute owner,kg P m-3 water,[macropore_domain],macropores=on;p_cycle=on,ACCEPTED_OWNER_IF_FEATURE_ADMITTED;TRIAL_MUTABLE,legacy MP initial concentration,MANDATORY_IF_FEATURE_ADMITTED_AND_ENABLED,restore exact domain state; zero synthesis forbidden,no,BLOCKED_LOCAL_RESTART_FINDING_PENDING_B3_CANONICAL_ALLOCATION,TCD-025 main control-volume gap; RG02-LCL-MACROPORE-SOLUTE-RESTART-WRITER; no B2 reference,MP02;PREP12;PREP06
