local_key,source_workunit,source_evidence_head,routine,process,phenomenon,affected_state_flux,existing_tcd_relation,proposed_atomicity,b3_class,theory_dependency,b2_dependency,numerical_dependency,build_contract_dependency,canonical_disposition,canonical_tcd_id,qualification_owner,notes
MP02-LCL-GNU-MAPOTRANSPORT-INVALID-GUARD,ANIMO-MP02,6b0f2e7470f13baeb6612b0bddb662a497dea528,MAPOTRANSPORT.FOR:MpTransp,diagnostic balance-warning guard,GNU active-route invalid flag localizes to Abs(BaDev/BaMx) inside an And guard while Intel historical effect and output materiality are unproven,IEEE invalid flag|diagnostic warning path,NO_SCIENTIFIC_TCD_RELATION,BUILD_RUNTIME_HAZARD,N/A,historical compiler evaluation semantics required,no B2 scientific discrepancy established,numerical warning expression only,HIGH historical compiler effect unresolved,BUILD_RUNTIME_HAZARD_NOT_TCD,,PROPOSED_ANIMO-BUILD01,Do not allocate a scientific TCD unless a model-state or flux effect is independently established
PREP10C-TCD028-EVENT-RESET,ANIMO-PREP10_AND_PREP10C,549545921dc8175f01d86c283647acd470c14290,Addit.for,stable DOM plough redistribution accumulator lifecycle,SuStdiorma SuStdiorni and SuStdiorpo are used across plough events without event-local zero initialization under current GNU diagnostics,stable DOM|DON|DOP redistribution accumulator,TCD028_ALREADY_RESERVED,ATOMIC_LOCAL_EVENT_ACCUMULATOR_IDENTITY,B,stable DOM extension theory remains incomplete but additive event-local identity is source-bound,B2 historical storage behavior not established,LOW,MEDIUM historical local-storage semantics still relevant,MAP_TO_EXISTING_TCD,TCD-028,ANIMO-PREP10C,TCD028 remains reserved and not B3-admitted
GHG01-LCL-METHANOGENESIS-SOURCE-POOL-TRANSFER,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,GHG_Miner|Rates2|GHG methane production,GHG methanogenesis source-pool transfers,CH4 production draws from multiple organic source pools while comprehensive GHG_Miner source-pool withdrawals are inactive and only separate DOM depletion was found active,DOM|exudates|humus|fresh OM|CH4 production,DISTINCT_FROM_TCD008_AND_TCD013,ATOMIC_PROCESS_TRANSFER_PATH,B,revision-specific CH4 source-pool theory still needs authority,no compatible historical GHG B2 case,LOW,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-032,PROPOSED_ANIMO-GHG02,Reserved as source-confirmed candidate with correction not admitted
GHG01-LCL-CH4-PRODUCTION-COMPONENT-PARTITION,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,GHG methane production|Rates2,CH4 production component partition,total CH4 production is scaled by anaerobic fraction A while source-family components omit equivalent scaling and their sum closes to total divided by A,QPrCH4|QPrCH4Do|source-family components,DISTINCT_FROM_TCD032,ATOMIC_LOCAL_ALGEBRA_PARTITION,B,CH4 equation authority required for final intended identity,no compatible historical GHG B2 case,LOW,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-033,PROPOSED_ANIMO-GHG02,Do not merge with source-pool transfer omission merely because both affect CH4 production
GHG01-LCL-CH4-FRESH-OM-WEIGHTING-INDEX,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,Inicalc,fresh organic matter methanogenic weighting,selector uses Recfav(Nf) for every fraction while each weight uses Recfav(Fn) and intended selector is unresolved,fresh OM fraction weights|CH4 source contribution,NO_EXISTING_TCD_MATCH,UNDECIDED_PROVISIONAL,B,intended fraction selector not established,no compatible historical GHG B2 case,LOW,NONE_KNOWN,INSUFFICIENT_EVIDENCE,,ANIMO-GHG01_FOLLOWUP,Source pattern is suspicious but canonical defect allocation would overclaim intent
GHG01-LCL-CH4-PLANT-GROWTH-TEMPERATURE-INDEX,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,GHG_Methane,CH4 plant-mediated transport growth factor,Te50 equals Te(Ln) before first local Ln assignment and feeds fGrow for root-zone K1plant,Te50|fGrow|K1plant|QOxCH4Plt|QEmCH4Plt,NO_EXISTING_TCD_MATCH,ATOMIC_USE_BEFORE_DEFINITION,B,intended temperature layer semantics require GHG theory,no compatible historical GHG B2 case,LOW,possible compiler-dependent first-read value but source use-before-definition is primary,NEW_CANONICAL_TCD_CANDIDATE,TCD-034,PROPOSED_ANIMO-GHG02,Reserved fail-closed with historical magnitude reference-blocked
GHG01-LCL-GHG-HIDDEN-TASK-STATE-PERSISTENCE,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,GHGponding|GHGasses|CH4oxid|N2Oproreduc|NO3N2OReduc|GHGtransport|GHGtranssub,GHG task-local state persistence,active Itask procedures require locals written in one invocation during later invocations without explicit arguments or SAVE,multiple GHG scientific intermediate states|transport coefficients,BUILD_CONTRACT_FAMILY_TCD011,SAME_BUILD_CONTRACT_PHENOMENON,N/A,historical Intel local-storage policy is unresolved,B2 interpretation depends on recovered build contract,numerical iterations may be affected,HIGH compiler storage duration is the controlling dependency,MAP_TO_EXISTING_TCD,TCD-011,PROPOSED_ANIMO-BUILD01,Do not broaden into a new scientific TCD before the compiler storage contract is resolved
GHG01-LCL-GHG-RESTART-PHASE-PARTITION,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,Inicalc|INITIAL.OUT|GHG phase reconstruction,GHG restart phase partition continuity,restart serializes total RsCs and reconstructs Co from Cs using Bunsen partitioning at fixed Terf rather than proven checkpoint thermodynamic state,RsCs|RsCo|Cs|Co|temperature-dependent phase partition,NO_EXISTING_TCD_MATCH,ATOMIC_RESTART_PHASE_STATE_GAP,C,authoritative phase and checkpoint reconstruction semantics required,no compatible GHG split-run B2 case,LOW,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-035,PROPOSED_ANIMO-GHG03,No instantaneous mass-loss claim is made
GHG01-LCL-GHG-PONDING-RESTART-LAYER0,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,Inicalc|GHGtransport|INITIAL.OUT,ponding layer0 GHG restart continuity,layer0 GHG system state is serialized but dissolved reconstruction covers only layers 1 through Nl and pre-existing ponding does not trigger new-ponding overwrite,layer0 CH4|layer0 N2O|Co(0)|Cs(0),DISTINCT_FROM_TCD035,ATOMIC_LAYER0_RESTART_STATE_GAP,C,ponding phase ownership and reconstruction semantics required,no compatible GHG split-run B2 case,LOW,NONE_KNOWN,NEW_CANONICAL_TCD_CANDIDATE,TCD-036,PROPOSED_ANIMO-GHG03,Separate control-volume phenomenon from soil-layer phase partition
GHG01-LCL-GHG-OUTBAL-WORKING-ARRAYS,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,Outbal_calc,GHG balance observer interface,Outbal_calc consumes AmCH4 and AmN2Odeni although neither is passed into the routine and no active assignment under those symbols was found,GHG balance terms|CH4 and N2O accounting,RELATED_TO_TCD009_BUT_DISTINCT_INTERFACE_DEFECT,ATOMIC_BALANCE_OBSERVER_INTERFACE,A,ledger identity and intended producer semantics required,no compatible historical GHG B2 case,LOW,possible storage semantics must be excluded for observer arrays,NEW_CANONICAL_TCD_CANDIDATE,TCD-037,PROPOSED_ANIMO-GHG04,Class A remains provisional until unchanged physical state and flux are proven
GHG01-LCL-GAS-STORE-CN-CONTROL-VOLUME,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,Outbal family|GHG state owners,model-wide C and N conservation control volume,dynamic CH4-C and N2O-N gas stores are not canonical beginning and ending state in ordinary C and N residuals,CH4-C gas storage|N2O-N gas storage|atmosphere transfers,UMBRELLA_TCD009,ATOM_TCD009_GHG_GAS_STORE,A,control-volume identity needed,no compatible historical GHG B2 case,LOW,NONE_KNOWN,ATOMIZE_EXISTING_TCD,TCD-009-GHG-GAS-STORE,PROPOSED_ANIMO-GHG04,Do not create another top-level TCD for an accounting atom inside the existing mass-accounting umbrella
GHG01-LCL-N2O-NITRIFICATION-TEMPERATURE-SIGN-DOC-SOURCE,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,FracN2Onitr|2011 Appendix A17,N2O theory provenance,ANIMO-specific publication prints positive Q10 exponent while revision53 uses negative exponent and outside evidence supports the source direction without proving publication error,N2O nitrification fraction temperature response,TCD008_THEORY_VERSION_GAP,NOT_A_CORRECTION_ATOM,N/A,release-specific equation authority unresolved,no B2 needed until theory identity fixed,NONE,NONE_KNOWN,THEORY_PROVENANCE_GAP_NOT_TCD,TCD-008,ANIMO-GHG01_AND_ANIMO-TH02,Keep document-source conflict explicit without declaring source or publication defective
GHG01-LCL-N2O-REDUCTION-AERATION-FACTOR-DOC-SOURCE,ANIMO-GHG01,dac7b7b5c591b781b82ec968896edb5957664c88,N2O reduction|2011 Appendix A11,N2O theory provenance,publication omits fae from printed reduction numerator while revision53 folds aeration into RatFacN2O used by reduction partition,N2O reduction rate partition,TCD008_THEORY_VERSION_GAP,NOT_A_CORRECTION_ATOM,N/A,release-specific equation authority unresolved,no B2 needed until theory identity fixed,NONE,NONE_KNOWN,THEORY_PROVENANCE_GAP_NOT_TCD,TCD-008,ANIMO-GHG01_AND_ANIMO-TH02,No code-defect claim is admitted
