item_id,archg01_topic,archg01_prior_state,final_evidence,disposition,candidate_architecture_consequence,canonical_gate_consequence
ARCHG02-R11,retry_identity,ARCHG01 deferred,TIME01 interval/trial identity contract,CANDIDATE_POLICY_NOW_SPECIFIED_NONCANONICAL,"every retry has fresh trial_id; changed t1 requires new interval identity and frame rebind",canonical time encoding and runtime retry trigger policy remain open
ARCHG02-R12,coupled_acceptance_barrier,ARCHG01 deferred through ARCH07,TIME01 plus ARCH07 coupled contract,CANDIDATE_POLICY_NOW_SPECIFIED_NONCANONICAL,"external owners and ANIMO must advance corresponding accepted generations behind one logical accept barrier",coupled runtime evidence absent
ARCHG02-R13,external_frame_time_binding,hydrology/crop exchange candidate with TS01 coupled semantics open,TS01 F14 plus TIME01 frame identity,CANDIDATE_POLICY_NOW_SPECIFIED_NONCANONICAL,"bind t0/t1, accepted generation, geometry, config/exchange identity and immutable frame IDs before execution",concrete adapters and canonical TIME remain unadmitted
ARCHG02-R14,checkpoint_boundary,accepted-boundary checkpoint candidate,TS01 F12 F13 plus TIME01 and ARCH02,CONFIRMED_WITH_TEMPORAL_REFINEMENT,"portable checkpoint only from accepted state; final-result generation and continuation cursors/diagnostics must be handled explicitly; serializer must be side-effect free",REMAINS_BLOCKED_B2
ARCHG02-R15,split_run_equivalence,ARCHG-C11 requires reference,TS01 restart audit plus TIME01,REMAINS_BLOCKED_B2,"candidate structure is not proof of continuation equivalence",PREP02R independent reference required
ARCHG02-R16,calendar_time_encoding,ARCHG01 TS01/TIME responsibility,TIME01 concrete_time_encoding_selected=false,REMAINS_BLOCKED_CANONICAL_STATE_TIME,"candidate interval identity exists but concrete canonical coordinate/calendar representation is unselected",canonical TIME cannot be admitted
ARCHG02-R17,topology_feature_transition,ARCHG-C04 required TS01,TIME01 forbids mid-trial change without transition contract,CANDIDATE_POLICY_NOW_SPECIFIED_NONCANONICAL,"fixed topology within a trial is retained; any transition needs separate explicit contract",scientific feature admission and transition semantics remain open
ARCHG02-R18,crop_uptake_transfer_identity,candidate typed transfer semantics,TS01 F06 plus TIME01/ARCH07,CONFIRMED_WITH_TEMPORAL_REFINEMENT,"soil-side sink and later crop-state gain are one physical transfer identity, not two removals",MASS/event producer runtime qualification remains open
ARCHG02-R19,GHG_temporal_contract,ARCHG-C06 theory blocked,TS01 only reachable-source timing plus GHG01,REMAINS_BLOCKED_SCIENTIFIC_OR_NUMERICAL,"candidate GasState shape does not constitute qualified temporal/scientific feature contract",GHG B3/reference/ledger gates remain open
ARCHG02-R20,macropore_temporal_contract,ARCHG-C07 B3 blocked,TS01 limited reachable semantics plus MP01,REMAINS_BLOCKED_SCIENTIFIC_OR_NUMERICAL,"candidate MacroporeState remains representational only until active-path/reference/restart/ledger gates pass",MP01/TCD025/B3 remain open
ARCHG02-R21,TCD019_numerical_policy,ARCHG-C09 NQ boundary,NQ01 plus NQ02 route-level candidate,REMAINS_BLOCKED_SCIENTIFIC_OR_NUMERICAL,"architecture carries numerical-policy identity but selects no nonlinear tolerance/policy",NQ02 completion and B3 admission remain separate
