legacy_state_id,candidate_field_id,owner_component,ownership_kind,persistence,transaction_role,conserved_quantity,activation,admission_status,open_evidence
MP-DOM-C,macropore.dom_om,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,organic_matter_mass,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
MP-DON,macropore.don,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,nitrogen,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
MP-DOP,macropore.dop,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,phosphorus,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
MP-NH4,macropore.nh4,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,nitrogen,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
MP-NO3,macropore.no3,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,nitrogen,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
MP-PO4,macropore.po4,MacroporeState,MODEL_STATE,PERSISTENT_OPTIONAL,ACCEPTED_AND_TRIAL,phosphorus,macropore_option,CANDIDATE_BLOCKED_FEATURE,TCD-025
DERIVED-P-FAST-TOTAL,views.p_fast_total,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,none,fast_sorption,DERIVED_ONLY,
DERIVED-P-SLOW-TOTAL,views.p_slow_total,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,none,slow_sorption,DERIVED_ONLY,
RATE-N-MIN,scratch.n_mineralization,ProcessScratch,STEP_LOCAL_SCRATCH,STEP_LOCAL,TRIAL_ONLY,none,organic_processes,NOT_STATE,
RATE-P-MIN,scratch.p_mineralization,ProcessScratch,STEP_LOCAL_SCRATCH,STEP_LOCAL,TRIAL_ONLY,none,organic_processes,NOT_STATE,TCD-023
REPORT-MAIN-BAL,diagnostics.mass_balance,DiagnosticsLedger,REPORTING_OBSERVER,DIAGNOSTIC_PERIOD,OBSERVE_COMMITTED_OR_TRIAL_BY_POLICY,none,diagnostics,NOT_STATE,TCD-017;TCD-018;TCD-026
REPORT-DETAILED-TRANS,diagnostics.process_transfers,DiagnosticsLedger,REPORTING_OBSERVER,DIAGNOSTIC_PERIOD,OBSERVE_TRANSFER_JOURNAL,none,diagnostics,NOT_STATE,TCD-027;TCD-028
REPORT-AVERAGE-CONC,views.average_concentration,DerivedViews,DERIVED_VIEW,DERIVED,RECOMPUTE,none,transport,DERIVED_ONLY,
