field_id,domain,direction,temporal_role,value_kind,unit_semantics,shape,required_when,owner,consumer,physical_semantics,sign_or_direction,checkpoint_role,qualification_status,open_evidence
HYD-BOTTOM-WATER,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,always_for_transport,external_hydrology_owner,ANIMO,bottom boundary water transfer,signed_positive_downward,not_checkpointed,CANDIDATE,
HYD-RUNOFF-OUT,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar_or_surface_classes,hydrology_mode=detailed,external_hydrology_owner,ANIMO,surface runoff leaving profile,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-RUNON-IN,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar_or_surface_classes,when_runon_exists,external_hydrology_owner,ANIMO,surface runon entering profile,nonnegative_inward,not_checkpointed,CANDIDATE,
HYD-PRECIP-IN,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,always_for_detailed_water_ledger,external_hydrology_owner,ANIMO,precipitation water entering hydrology control volume,nonnegative_inward,not_checkpointed,CANDIDATE,
HYD-IRRIGATION-IN,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,when_irrigation_exists,external_hydrology_owner,ANIMO,irrigation water entering hydrology control volume,nonnegative_inward,not_checkpointed,CANDIDATE,
HYD-EVAP-INTERCEPTION,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,hydrology_mode=detailed,external_hydrology_owner,ANIMO,interception evaporation leaving profile,nonnegative_outward,not_checkpointed,CANDIDATE_OPEN_LEDGER_SEAM,TCD-018
HYD-SUBLIMATION,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,snow_enabled=true,external_hydrology_owner,ANIMO,snow sublimation leaving profile,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-EVAP-POND,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,hydrology_mode=detailed,external_hydrology_owner,ANIMO,pond evaporation leaving profile,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-EVAP-SOIL,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar,always_for_detailed_water_ledger,external_hydrology_owner,ANIMO,soil evaporation leaving profile,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-TRANSPIRATION,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,profile_scalar_or_layer_count,when_crop_or_root_uptake_active,external_hydrology_owner,ANIMO,plant transpiration water leaving soil hydrology control volume,nonnegative_outward,not_checkpointed,CANDIDATE,
HYD-MP-WATER-BEGIN,EX-HYDROLOGY,producer_to_animo,accepted_t0,state_coordinate,m_water_equivalent,macropore_domain_shape,macropore_enabled=true AND macropore_admitted,external_hydrology_owner,ANIMO,macropore water storage coordinate at interval start,nonnegative,external_checkpoint_coordinate,BLOCKED_ACTIVE_CASE_AND_LEDGER,TCD-025
HYD-MP-WATER-END,EX-HYDROLOGY,producer_to_animo,trial_or_accepted_t1,state_coordinate,m_water_equivalent,macropore_domain_shape,macropore_enabled=true AND macropore_admitted,external_hydrology_owner,ANIMO,macropore water storage coordinate at proposed interval end,nonnegative,external_checkpoint_coordinate,BLOCKED_ACTIVE_CASE_AND_LEDGER,TCD-025
HYD-MP-INFIL,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,macropore_domain_shape,macropore_enabled=true AND macropore_admitted,external_hydrology_owner,ANIMO,water entering macropore domain from surface,nonnegative_inward,not_checkpointed,BLOCKED_ACTIVE_CASE_AND_LEDGER,TCD-025
HYD-MP-MATRIX-X,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,macropore_domain_shape,macropore_enabled=true AND macropore_admitted,external_hydrology_owner,ANIMO,matrix macropore exchange,signed_positive_macropore_to_matrix,not_checkpointed,BLOCKED_ACTIVE_CASE_AND_LEDGER,TCD-025
HYD-MP-DIRECT-DRAIN,EX-HYDROLOGY,producer_to_animo,interval_integral,transfer,m_water_equivalent_per_interval,macropore_domain_shape,macropore_enabled=true AND macropore_admitted,external_hydrology_owner,ANIMO,direct macropore drainage to external drain system,nonnegative_outward,not_checkpointed,BLOCKED_ACTIVE_CASE_AND_LEDGER,TCD-025
CROP-ACTIVE,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0_or_interval,flag,boolean,profile_scalar,crop_mode=external,external_crop_owner,ANIMO,whether external crop compartment is active for interval,true_false,external_crop_checkpoint_coordinate,CANDIDATE,
CROP-ROOT-FRACTION,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0_or_interval,distribution,dimensionless,layer_count,crop_mode=external AND root_distribution_required,external_crop_owner,ANIMO,root distribution used to spatially allocate nutrient demand,sum_contract_explicit,external_crop_checkpoint_coordinate,CANDIDATE,
CROP-N-DEMAND,EX-CROP-EXTERNAL,producer_to_animo,interval_request,demand,kg_N_per_area_per_interval,profile_scalar_or_layer_count,crop_mode=external AND N_uptake_active,external_crop_owner,ANIMO,requested nitrogen uptake capacity for interval,nonnegative,not_checkpointed,CANDIDATE,
CROP-P-DEMAND,EX-CROP-EXTERNAL,producer_to_animo,interval_request,demand,kg_P_per_area_per_interval,profile_scalar_or_layer_count,crop_mode=external AND P_uptake_active,external_crop_owner,ANIMO,requested phosphorus uptake capacity for interval,nonnegative,not_checkpointed,CANDIDATE,
CROP-N-BEGIN,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0,state_observation,kg_N_per_area,profile_scalar,crop_mode=external AND combined_crop_ledger_requested,external_crop_owner,ANIMO,external crop actual nitrogen state at accepted start,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-N-END,EX-CROP-EXTERNAL,producer_to_animo,trial_or_accepted_t1,state_observation,kg_N_per_area,profile_scalar,crop_mode=external AND combined_crop_ledger_requested,external_crop_owner,ANIMO,external crop actual nitrogen state at proposed or accepted end,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-P-BEGIN,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0,state_observation,kg_P_per_area,profile_scalar,crop_mode=external AND combined_crop_ledger_requested,external_crop_owner,ANIMO,external crop actual phosphorus state at accepted start,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-P-END,EX-CROP-EXTERNAL,producer_to_animo,trial_or_accepted_t1,state_observation,kg_P_per_area,profile_scalar,crop_mode=external AND combined_crop_ledger_requested,external_crop_owner,ANIMO,external crop actual phosphorus state at proposed or accepted end,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-SHOOT-DM-BEGIN,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0,state_observation,kg_dry_matter_per_area,profile_scalar,crop_mode=external AND crop_dm_ledger_requested,external_crop_owner,ANIMO,external crop shoot dry matter at accepted start,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-SHOOT-DM-END,EX-CROP-EXTERNAL,producer_to_animo,trial_or_accepted_t1,state_observation,kg_dry_matter_per_area,profile_scalar,crop_mode=external AND crop_dm_ledger_requested,external_crop_owner,ANIMO,external crop shoot dry matter at proposed or accepted end,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-ROOT-DM-BEGIN,EX-CROP-EXTERNAL,producer_to_animo,accepted_t0,state_observation,kg_dry_matter_per_area,profile_scalar,crop_mode=external AND crop_dm_ledger_requested,external_crop_owner,ANIMO,external crop root dry matter at accepted start,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-ROOT-DM-END,EX-CROP-EXTERNAL,producer_to_animo,trial_or_accepted_t1,state_observation,kg_dry_matter_per_area,profile_scalar,crop_mode=external AND crop_dm_ledger_requested,external_crop_owner,ANIMO,external crop root dry matter at proposed or accepted end,nonnegative,external_crop_checkpoint_coordinate,CANDIDATE_LEDGER_OBSERVATION,
CROP-N-UPTAKE-REALIZED,EX-CROP-EXTERNAL,animo_to_producer,trial_result,realized_transfer,kg_N_per_area_per_interval,profile_scalar_or_layer_detail,crop_mode=external AND N_uptake_active,ANIMO,external_crop_owner,realized soil to crop nitrogen transfer represented by committed typed event on accept,nonnegative_to_crop,not_checkpointed,CANDIDATE,
CROP-P-UPTAKE-REALIZED,EX-CROP-EXTERNAL,animo_to_producer,trial_result,realized_transfer,kg_P_per_area_per_interval,profile_scalar_or_layer_detail,crop_mode=external AND P_uptake_active,ANIMO,external_crop_owner,realized soil to crop phosphorus transfer represented by committed typed event on accept,nonnegative_to_crop,not_checkpointed,CANDIDATE,
CROP-RESIDUE-INPUT-BUNDLE,EX-CROP-EXTERNAL,producer_to_animo,interval_event_bundle,typed_transfer_bundle,explicit_quantity_units,event_list,crop_mode=external AND external_crop_generates_residue,external_crop_owner,ANIMO,explicit crop to soil residue or exudate transfers with dry matter N P composition and target compartments,directed_event_legs,not_checkpointed,CANDIDATE_NO_INFERENCE_FROM_STATE_DELTA,
CROP-EXTERNAL-EXPORT-BUNDLE,EX-CROP-EXTERNAL,producer_to_animo,interval_observation_bundle,typed_transfer_bundle,explicit_quantity_units,event_list,crop_mode=external AND combined_crop_ledger_requested,external_crop_owner,ANIMO,harvest grazing or other crop external removals for combined-system ledger,directed_event_legs,not_checkpointed,CANDIDATE_LEDGER_OBSERVATION,
