sequence,phase,state_or_quantity,routine,source_symbols,access_class,generation_read,generation_written,source_evidence,temporal_note,risk_tag
30,state_stage,GHG_state,Init,"RscoCH4;RscoN2O -> CoCH4;CoN2O",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:487-495","Conditional GHG path",GHG_CONDITIONAL
31,state_stage,macropore_state,Init,"RsCoMp* -> CoMp*;SrWaMp -> SrWaMpOld",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:501-532","Conditional and feature-blocked elsewhere",MACROPORE_CONDITIONAL
32,state_stage,crop_state,Init,"Rsampl* -> Ampl*",COPY_TO_ACCEPTED,previous_result,current_start,"Init.for:555-571","Crop ownership varies by crop mode",CROP_BOUNDARY
33,state_stage,management_step_ledger,Init,"Nuad;Ad*",OVERWRITE,prior_reporting_step,zeroed_current_step,"Init.for:574-590","Reset before Addit; reporting deltas only",REPORTING_NOT_PHYSICAL
40,first_step,initial_physical_state,Init,"input current arrays",READ_ACCEPTED,initial_input,unchanged_current_start,"Init.for:185-321","First interval does not perform ordinary Rs-to-current staging",FIRST_STEP_SPECIAL
41,first_step,balance_begin_storage,Outbal_Init,"initial/current state",REPORT_ONLY,current_start,balance_begin_fields,"Animo.for:336","Called before same-step hydrology and management",FIRST_STEP_BALANCE_BOUNDARY
50,hydrology_input,dynamic_hydrology,Input_hydro,"Tiwa;St;Mofrt;Flev;Flab;drainage;Walet;Pnt",OVERWRITE,external_next_record,current_interval_forcing_and_end,"Input_hydro.for:90-147","Record order is relied on; no direct Tiwa==Juda/Tito guard found",HYDRO_SEQUENCE_ALIGNMENT
51,hydrology_derive,water_interval,Hydro_detailed,"Mofro;Mofrt;Pn;Pnt;Sic;Sict;fluxes",READ_ACCEPTED,current_start_and_external_end,derived_interval_fluxes,"Hydro_detailed.for:111-270","Combines start and end hydrological coordinates",HYDRO_START_END_PAIR
60,residue_generation,root_residue,Root_plant,"crop/root variables -> Ro and residue terms",WRITE_CURRENT_STEP,current_crop,current_step_residue,"Animo.for:405-411","Prepared before Addit",ORDER_DEPENDENT
61,residue_generation,grass_state_and_residue,Grassprd_Root_grass,"crop state;hydrology -> grass/root loss terms",WRITE_CURRENT_STEP,current_crop,current_step_crop_and_residue,"Animo.for:423-442","Grass production precedes Addit",ORDER_DEPENDENT
62,residue_generation,external_crop_residue,Root_extern,"external crop forcing -> residue terms",WRITE_CURRENT_STEP,external_current_interval,current_step_residue,"Animo.for:448-451","Prepared before Addit",ORDER_DEPENDENT
70,event_read,management_packet,Input_addit,"Tinead;Nuad;Mtnu;Qumt;Wyad;Pl;Frvo;Adnr",OVERWRITE,management_file_cursor,current_event_and_next_cursor,"Animo.for:460-465;Input_addit.for:53-218","Selected when t1>=event and t0<event",EVENT_OPEN_LEFT_CLOSED_RIGHT
71,event_apply,management_material,Addit,"Conh;Coni;Copo;Os;Codiorma;Codiorni;Codiorpo",WRITE_CURRENT_STEP,current_start,current_mutated_step,"Addit.for:313-445","Physical current/start arrays are mutated before process rates",ACCEPTED_NOT_IMMUTABLE
72,event_apply,ploughing,Addit,"top and layer stores;Ad* redistribution",READ_MUTATED_CURRENT_STEP,current_after_same_row_addition,current_mutated_step,"Addit.for:448+","Same-row addition is included before plough/mix",ADD_THEN_PLOUGH
73,event_apply,annual_harvest_residue,Addit,"Juda;Juda-St;Tiha;Ro;Rsamp*;Os;DOM",WRITE_CURRENT_STEP,current_crop_and_result,current_mutated_step,"Addit.for:244-301","Predicate assigns Tiha to [t0,t1), unlike management event predicate",EVENT_ENDPOINT_ASYMMETRY
80,upper_boundary,surface_reservoir,UBoundconc,"Con*top;Copo*;hydrology -> Rscon*top;Avcon*top",READ_MUTATED_CURRENT_STEP,post_management_current,current_result_and_average,"Animo.for:502","New virtual-reservoir additions are visible in same interval",SAME_STEP_MANAGEMENT_VISIBILITY
90,crop_demand,N_and_P_demand,Uptpar_Plant,"current mineral state;hydrology;crop state -> Se*",READ_MUTATED_CURRENT_STEP,post_management_current,uptake_parameters,"Animo.for:525","Demand/selectivity is fixed before transformation and transport",DEMAND_BEFORE_REACTION
91,crop_demand,N_and_P_demand,Uptpar_Grass,"current mineral state;hydrology;crop state -> Se*",READ_MUTATED_CURRENT_STEP,post_management_current,uptake_parameters,"Animo.for:535","Grass demand before reaction/transport",DEMAND_BEFORE_REACTION
92,crop_demand,N_and_P_demand,Uptpar_extern,"external demand;current state -> Se*",READ_MUTATED_CURRENT_STEP,post_management_current,uptake_parameters,"Animo.for:544","Deficit logic can continue to later interval",DEMAND_CONTINUATION
100,potential_rates,process_rate_coefficients,Rates1,"current state;environment -> potential Rek*",OVERWRITE,post_management_current,potential_rate_scratch,"Animo.for:572","Potential rates ignore oxygen limitation by source comment",POTENTIAL_PASS
101,potential_DOM,DOM_results_and_averages,Transca_ANIMO-pot,"current DOM;potential rates",WRITE_CURRENT_STEP,post_management_current,provisional_Rs_and_Av,"Animo.for:591","Provisional result/average fields can be overwritten by main pass",PROVISIONAL_OVERWRITE
102,potential_transform,organic_transform_rates,Resp_miner_Itask0,"current organic/mineral state;potential rates",ACCUMULATE_RATE,post_management_current,potential_rate_and_respiration_scratch,"Animo.for:616;resp_miner.for:173-190","Potential mode terminates availability loop early",POTENTIAL_PASS
103,potential_NH4,NH4_average_and_result,Transport_ANIMO-pot,"Conh;potential sources;SeNH4;hydrology",WRITE_CURRENT_STEP,post_management_current,provisional_Avconh_Rsconh,"Animo.for:652","Used for aeration/oxygen demand; later actual call overwrites result",PROVISIONAL_OVERWRITE
104,aeration,oxygen_response_and_denitrification_potential,Aeration_original,"potential demand;NH4/NO3 state;hydrology",ACCUMULATE_RATE,potential_pass,aeration_and_Rekonide_terms,"Animo.for:668","Original aeration delegates oxygen solution to Oxydem",INTERNAL_ITERATION
105,aeration,moisture_response,Aeration_sonicg,"current state;WFPS-related inputs",ACCUMULATE_RATE,potential_pass,aeration_and_Rekonide_terms,"Animo.for:692","Alternative aeration branch",OPTION_BRANCH
106,potential_GHG,gas_trial_terms,GHGasses_1,"potential/aeration state",WRITE_CURRENT_STEP,potential_pass,provisional_GHG_terms,"Animo.for:706","Conditional preliminary GHG stage",PROVISIONAL_GHG
110,actual_rates,process_rate_coefficients,Rates2,"aeration response;potential/current state",OVERWRITE,potential_and_aeration,actual_rate_scratch,"Animo.for:726","Actual rates are oxygen-status adjusted",ACTUAL_PASS
111,actual_DOM,labile_DOM_result,Transca_MAIN,"current DOM;actual rates",WRITE_CURRENT_STEP,post_management_current,current_result,"Animo.for:738","Actual result replaces provisional DOM result",ACTUAL_PASS
112,actual_transform,organic_pools_and_mineralization,Resp_miner_Itask1,"current organic/mineral state;AvDOM;actual rates",WRITE_CURRENT_STEP,post_management_current,current_result_and_rates,"Animo.for:764","Produces Rs organic pools and mineralization/immobilization source terms",ACTUAL_PASS
113,immobilization_availability,NH4_neighbor_concentration,Resp_miner,"Conh(Ln-1);Conh(Ln+1)",READ_ACCEPTED,current_start_neighbor,availability_estimate,"resp_miner.for:1076-1135","Source comment explicitly says incoming neighbor concentration is from previous timestep",STALE_NEIGHBOR_READ
114,immobilization_availability,P_neighbor_concentration,Resp_miner,"Copo(Ln-1);Copo(Ln+1)",READ_ACCEPTED,current_start_neighbor,availability_estimate,"resp_miner.for:1141-1221","Source comment explicitly says incoming neighbor concentration is from previous timestep",STALE_NEIGHBOR_READ
115,immobilization_iteration,N_P_assimilation,Resp_miner,"iter;Rdasni;Rdaspo;Tomnni;Tomnpo",OVERWRITE,current_pass,recomputed_current_pass,"resp_miner.for:177-190;1229-1232","Actual path can recalculate once after shortage detection",TWO_PASS_LOOP
120,actual_NH4,NH4_result_and_average,Transport_MAIN,"Conh;Rekinh;Rekonh;SeNH4;hydrology",WRITE_CURRENT_STEP,post_management_current,current_result,"Animo.for:812;TRANSPORT.FOR:129-210","Layer solve is sequential in Sqnu order",FLOW_ORDER_DEPENDENT
121,transport_neighbor,current_species_average,Transport,"Avco(Ln) -> Cob(Ln+1);Coo(Ln)",READ_MUTATED_CURRENT_STEP,same_step_upstream,same_step_neighbor_input,"TRANSPORT.FOR:183-187","Same-step upstream average feeds next layer",FLOW_ORDER_DEPENDENT
122,transport_uptake,soil_nutrient_uptake_sink,Transport,"Se(Ln)*Flev(Ln)*Avco(Ln)",ACCUMULATE_RATE,current_step_average,soil_mass_out,"TRANSPORT.FOR:215-225","Soil-side crop uptake is already applied in transport",DOUBLE_APPLICATION_RISK
123,negative_guard,solute_result,Transport,"Avco;Rsco",OVERWRITE,current_result,guarded_current_result,"TRANSPORT.FOR:169-180","Small negative values can be zeroed; relevant to TCD-015/TCD-016",NUMERICAL_STATE_GUARD
130,denitrification,NO3_source_term,Denitr,"Avconh;Rekinh;Rekonide -> Rekoni",OVERWRITE,current_step_NH4_average,NO3_rate_scratch,"Denitr.for:61-66","Nitrification contribution is constructed after actual NH4 transport",NH4_BEFORE_NO3
131,grass_diffusive_uptake,NO3_rate_or_selectivity,grassup3,"Avconh/Avconi and grass state",ACCUMULATE_RATE,current_step_average,modified_NO3_terms,"Animo.for:837","Runs before NO3 transport",ORDER_DEPENDENT
132,NO3_correction,NO3_bookkeeping,Correction_1,"Rekoni -> Rekoni_org",OVERWRITE,current_rate,rate_snapshot,"Animo.for:843;CORRECTION.FOR:37-39","Snapshots source term before NO3 transport",RATE_BOOKKEEPING
133,actual_NO3,NO3_result_and_average,Transport_MAIN,"Coni;Rekoni;SeNO3;hydrology",WRITE_CURRENT_STEP,post_management_current,current_result,"Animo.for:848","Runs after Denitr and grassup3",ORDER_DEPENDENT
134,NO3_correction,denitrification_bookkeeping,Correction_2,"Rekoni;Rekoni_org;Rekonide",OVERWRITE,current_rate,adjusted_rate,"Animo.for:862;CORRECTION.FOR:44-48","Adjusts denitrification bookkeeping for Rekoni changes",RATE_BOOKKEEPING
140,actual_GHG,gas_result,GHGasses_2,"actual N/organic/aeration results",WRITE_CURRENT_STEP,current_actual_pass,current_result,"Animo.for:868","Conditional final GHG stage",GHG_CONDITIONAL
150,actual_P,mineral_P_phase_system,Transgen_Transorp,"Copo;Amcxfa;Amcxsl;Ampopr;Rekipo;Rekopo;SeP;hydrology",WRITE_CURRENT_STEP,post_management_current,current_result,"Animo.for:891;Transgen.for:212-294","Transport sorption desorption and precipitation are coupled per layer",P_COUPLED_LAYER_SOLVE
151,P_neighbor,P_average,Transgen,"Avcopo(Ln) -> Cob/Coo neighbors",READ_MUTATED_CURRENT_STEP,same_step_upstream,same_step_neighbor_input,"Transgen.for:289-294","Same-step P average propagates in Sqnu order",FLOW_ORDER_DEPENDENT
160,crop_integration,plant_N_P_state,Upintg_Plant,"Avconh;Avconi;Avcopo;Se* -> Rsampl*_act",WRITE_CURRENT_STEP,current_step_average,current_result_crop,"Animo.for:914","Plant-side gain follows soil-side uptake sink",SOIL_PLANT_SPLIT_TIMING
161,crop_integration,plant_N_P_state,Upintg_Grass,"Avconh;Avconi;Avcopo;grass uptake terms -> Rsampl*",WRITE_CURRENT_STEP,current_step_average,current_result_crop,"Animo.for:927","Includes grass-specific diffusive contribution",SOIL_PLANT_SPLIT_TIMING
162,crop_integration,plant_N_P_state_and_deficit,Upintg_Extern,"Avconh;Avconi;Avcopo;external demand -> Rsampl*;Nuptdef;Puptdef",WRITE_CURRENT_STEP,current_step_average,current_result_and_continuation,"Animo.for:938","External crop deficit can affect next interval",CROP_CONTINUATION
170,balance_accumulation,physical_transfer_observations,Outbal_calc,"Rs*;Av*;Rek*;Ad*;flux totals",REPORT_ONLY,current_completed_interval,balance_accumulators,"Animo.for:987","Runs after physical result and crop integration",BALANCE_AFTER_MUTATION
171,balance_period,balance_period_selector,Outbal_calc,"Tiyr;St;Tiba;Iba;Optout",OVERWRITE,current_interval_end,report_boundary_flag,"Outbal_calc.for:199-225","Uses half-step crossing rule distinct from management event predicates",REPORT_BOUNDARY_SEMANTICS
172,balance_write,balance_accumulators,Outbal_write_Itask2,"Bawa;Bdom;Banh;Bani;Bapo;Bapp;Bfom;Bahu",REPORT_ONLY,current_report_period,reset_next_report_period,"Animo.for:1035;Outbal_write.for:827-842;1035-1057","Ending report storage becomes next report beginning storage; flux accumulators reset",REPORTING_NOT_PHYSICAL
180,state_output,selected_state_and_rates,Outsel,"Rs*;Av*;rates;fluxes",REPORT_ONLY,current_completed_interval,output_only,"Animo.for:1043","Runs after balance write/reset",OUTPUT_AFTER_BALANCE
181,annual_output,grass_year_output,Outputgr_yr,"Juda;Juda-St;crop annual state",REPORT_ONLY,current_closed_interval,annual_output,"Animo.for:1069-1072","Boundary detected at t1; previous interval date obtained from t0",YEAR_BOUNDARY
190,final_balance,final_report,Outbal_write_Itask3,"balance accumulators",REPORT_ONLY,last_report_state,final_output,"Animo.for:1086","Occurs after loop; no next Init",FINAL_STEP_SPECIAL
191,restart_serialize,final_physical_state,Output_Init,"Mofrt;Rscon*;Rsos;RsDOM;RsP;Rsampl*;RsCsGHG",RESTART_SERIALIZE,final_result,restart_file,"Animo.for:1099;Output_Init.for:81-165","Serializes result/end fields directly because no next Init occurs",FINAL_RESULT_SERIALIZATION
192,restart_serialize,crop_P_actual,Output_Init,"Rsamplpo_act",OVERWRITE,final_result,possibly_clamped_final_result,"Output_Init.for:115-117","Serializer mutates negative crop P result to zero before writing",SERIALIZER_SIDE_EFFECT
193,restart_serialize,macropore_state,Output_Init,"Comp* sections commented",REPORT_ONLY,final_result,not_serialized,"Output_Init.for:137-153","Legacy restart-style file is incomplete for active macropore continuation",RESTART_INCOMPLETE_FEATURE
