sentinel_id,seam,trigger,required_order_or_rule,read_generation,write_or_effect,evidence_tier,b2_status,dependency,source_anchor,failure_mode
TS01-S16,report_reset,report period closes,"Outbal_write reset/rollover is reporting only and not physical commit",G_REPORT_ONLY,G_REPORT_ONLY,SOURCE_STATIC,NOT_B2,TS01,"Outbal_write.for:827-842;1035-1057",REPORT_RESET_AS_COMMIT
TS01-S17,year_boundary,interval ends on Jan 1,"close prior year after interval then initialize new year at following t0",G_ACTUAL_RESULT,G_ACCEPTED_START,SOURCE_STATIC,NOT_B2,TS01,"Init.for:122-136; Animo.for:1069-1072",YEAR_BOUNDARY_SHIFT
TS01-S18,final_generation,last timestep,"serialize final Rs/end result because no following Init occurs",G_ACTUAL_RESULT,RESTART_SERIALIZE,SOURCE_STATIC,NOT_B2,TS01,"Animo.for:1081-1109; Output_Init.for",STALE_START_SERIALIZATION
TS01-S19,serializer_purity,final Output_Init,"future checkpoint writer must not silently mutate accepted physical state; legacy crop-P clamp is explicit compatibility behavior if reproduced",G_ACTUAL_RESULT,RESTART_SERIALIZE,ARCH_CONTRACT,NOT_B2,ARCH02_TS01,"Output_Init.for:115-117",SERIALIZER_SIDE_EFFECT
TS01-S20,hydrology_binding,every coupled interval,"explicitly bind t0 t1 generation geometry and frame identity; do not trust record order alone",EXTERNAL_INTERVAL_FRAME,BOUND_TRIAL_FRAME,ARCH_CONTRACT,NOT_B2,ARCH05_ARCH07_TS01,"Input_hydro.for:90-147; TS01 F14",STALE_OR_MISALIGNED_HYDROLOGY
TS01-S21,management_cursor,restart around management event,"restore or deterministically reconstruct consumed-event cursor so event is neither replayed nor skipped",RESTART_CONTEXT,EVENT_CURSOR,REFERENCE_BEHAVIOR,REQUIRES_B2,PREP02R_ARCH02_TS01,"Input_addit.for:86-218",MANAGEMENT_EVENT_REPLAY_OR_SKIP
TS01-S22,split_run_clean,checkpoint at accepted non-event boundary,"continuous and split continuation agree for state committed events and required outputs",G_ACTUAL_RESULT,RESTORED_ACCEPTED_STATE,REFERENCE_BEHAVIOR,REQUIRES_B2,PREP02R_ARCH02_ARCH07,"RESTART_ACCEPTANCE_SEMANTICS R1",RESTART_STATE_INSUFFICIENCY
TS01-S23,split_run_event,checkpoint immediately before/after management event,"event occurrence count and ordering remain identical across split",RESTART_CONTEXT,RESTORED_ACCEPTED_STATE,REFERENCE_BEHAVIOR,REQUIRES_B2,PREP02R_ARCH02_ARCH07,"RESTART_ACCEPTANCE_SEMANTICS R2",EVENT_REPLAY_OR_OMISSION
TS01-S24,split_run_crop_year,checkpoint around crop/harvest/year boundary,"crop identity residue annual forcing and closeout semantics remain equivalent",RESTART_CONTEXT,RESTORED_ACCEPTED_STATE,REFERENCE_BEHAVIOR,REQUIRES_B2,PREP02R_ARCH02_ARCH07,"RESTART_ACCEPTANCE_SEMANTICS R3-R4",BOUNDARY_CONTINUATION_DRIFT
TS01-S25,split_run_report,checkpoint mid-report-period,"separate physical continuation equivalence from diagnostic/report continuation equivalence",RESTART_CONTEXT,RESTORED_ACCEPTED_AND_DIAGNOSTIC_STATE,REFERENCE_BEHAVIOR,REQUIRES_B2,PREP02R_ARCH02_ARCH03,"RESTART_ACCEPTANCE_SEMANTICS R5",REPORT_CONTINUATION_DRIFT
TS01-S26,reject_atomicity,future rejected trial,"discard trial state and physical journal; accepted state unchanged; diagnostics may record rejection",G_ACCEPTED_START,REJECTED_TRIAL_DISCARDED,ARCH_CONTRACT,NOT_B2,ARCH01_ARCH03_ARCH07,"ARCH07 COUPLED_TRANSACTION_TEST_SPEC",REJECTED_MASS_COMMITTED
